;full_name;df_index;birth_date;country;soccRole;team;cluster;games;mins_played;touches;xG;npxG;opxG;goals;npgoals;opgoals;shots;npshots;opshots;xGoT;xA;opxA;xOVA;xT;xT_from_passes;xT_from_carries;xT_from_passes_received;xg_blocked;xg_against_team;id;Giocatore_x;Anno;Età;Ruolo;Minuti;Tiri;Tiri in porta;Tiri da area;Tiri da area piccola;Tiri fuori area;Tiri di testa;Tiri di rigore;Gol;Gol da area;Gol da area piccola;Gol fuori area;Gol di testa;Gol di piede;Gol su PI;Gol su Pun. Centrale;Gol su Pun. Laterale;Gol su Corner;Gol su Rimessa;Gol su rigore;Gol su sviluppo rigore;Gol su Pun. Diretta;Gol su sviluppo Pun. Diretta;Precisione;Precisione da area;Precisione da fuori area;Tiri su Occasione Gol;Tiri su Promettente;Passaggi Chiave;Passaggi Chiave in area;Passaggi Chiave ricevuti;Passaggi Chiave ricevuti in area;Assist;Assist Vincenti;Assist in area;Assist Vincenti in area;Third pass;Third pass vincenti;Gol procurati;Assist V + Third pass V;Assist V + Third pass V + Gol procurati;Triangolazioni;Triangolazioni fatte;Triangolazioni chiuse;Passaggi;Passaggi ricevuti;Palle Laterali;Cross;Cross riusciti;Cross vincenti;Traversoni;Traversoni riusciti;Traversoni vincenti;Cut Back;Cut Back riusciti;Cut Back vincenti;Perde palla;Propria metà campo;Recupera palla;Metà campo avversaria;Dribbling;Dribbling vincenti;Dribbling subiti;Dribbling perdenti subiti;Duelli;Duelli di gioco;Duelli vinti;Duelli nella metà campo offensiva;Duelli vinti nella metà campo offensiva;Duelli aerei;Duelli aerei vinti;Duelli tackle;Duelli tackle vinti;Interventi decisivi +;Interventi decisivi -;Reti subite squadra;Falli fatti;Falli subiti;In Fuorigioco;Ammonizioni;Espulsioni;Doppie Ammonizioni;Parate;Gol subiti;Uscite;Tiri in porta subiti;Rigori;Rigori parati;Interventi decisivi +2;Interventi decisivi -3;Passaggi portiere;Passaggi portiere +;Lanci;Lanci +;% Realizzazione;Realizzazione da area;Realizzazione da fuori area;Realizzazione su rigore;Realizzazione su Occasione Gol;Realizzazione su Promettente;lanci/passaggi portiere ricevuti;lanci/passaggi portiere ricevuti campo off.;% Passaggi riusciti;% Cross riusciti;% Cross vincenti;% Traversoni riusciti;% Traversoni vincenti;% Cut Back riusciti;% Cut Back vincenti;H media recupera palla (no P);% dribbling vincenti;% dribbling perdenti subiti;% duelli vinti;% duelli vinti nella metà campo offensiva;% duelli arei vinti;% duelli tackle vinti;Minuti giocati / gol subiti;H media falli (m);% parate su tiri in porta subiti;% passaggi +;% passaggi su gioco portiere;% lanci +;% lanci su gioco portiere;skill_id;Player ID;Player;Position_x;Position Group;Minutes Played;Minutes Played TIP;Minutes Played OTIP;Player ID.1;Distance;Running Distance;HSR Distance;Sprinting Distance;HI Distance;Count HSR;Count Sprint;Count HI;Count Medium Acceleration;Count High Acceleration;Count Medium Deceleration;Count High Deceleration;PSV-99;Distance TIP;Running Distance TIP;HSR Distance TIP;Sprinting Distance TIP;HI Distance TIP;Count HSR TIP;Count Sprint TIP;Count HI TIP;Count Medium Acceleration TIP;Count High Acceleration TIP;Count Medium Deceleration TIP;Count High Deceleration TIP;Distance OTIP;Running Distance OTIP;HSR Distance OTIP;Sprinting Distance OTIP;HI Distance OTIP;Count HSR OTIP;Count Sprint OTIP;Count HI OTIP;Count Medium Acceleration OTIP;Count High Acceleration OTIP;Count Medium Deceleration OTIP;Count High Deceleration OTIP;M/min;M/min TIP;M/min OTIP;Count High Acceleration OTIP_p90;Count High Acceleration TIP_p90;Count High Deceleration OTIP_p90;Count High Deceleration TIP_p90;Count HSR OTIP_p90;Count HSR TIP_p90;Count Medium Acceleration OTIP_p90;Count Medium Acceleration TIP_p90;Count Medium Deceleration OTIP_p90;Count Medium Deceleration TIP_p90;Count Sprint OTIP_p90;Count Sprint TIP_p90;Distance OTIP_p90;Distance TIP_p90;HI Distance OTIP_p90;HI Distance TIP_p90;HSR Distance OTIP_p90;HSR Distance TIP_p90;Ammonizioni_p90;Assist_p90;Cross_p90;Cut Back_p90;Dribbling_p90;Espulsioni_p90;Falli subiti_p90;In Fuorigioco_p90;Third pass_p90;Tiri_p90;Tiri da area_p90;Tiri di testa_p90;Tiri fuori area_p90;Traversoni_p90;Triangolazioni_p90;Palle Laterali_p90;Passaggi Chiave_p90;Passaggi Chiave ricevuti_p90;Duelli aerei_p100;Duelli di gioco_p100;Duelli tackle_p100;Falli fatti_p100;Recupera palla_p100;Duelli nella metà campo offensiva_p100;cluster_bay;cluster_0;cluster_1;cluster_2;cluster_3;name;hybrid;cluster_4;cluster_5;cluster_6;cluster_7;cluster_8;cluster_9;cluster_10;cluster_11;Date of birth;Place of birth;Age;Height;Citizenship;Position_y;Foot;Joined;Contract expires;Outfitter;Player agent;Current club;Max_Val;Date_Max_Val;Name;NAME N.;tranfermarkt_id;Player_id;Numero;Valore;Date of last contract extension;Contract option;On loan from;Contract there expires;2nd club;3nd club;Squad;Starting eleven;Substituted in;On the bench;Suspended;Injured;Giocatore_y;val_num
75;Pablo Marí;127;31/08/1993;Spain;CB;Udinese;Ball stopper;15;1342;796;0.5543088;0.5543088;0.2164861;2;0;1;10;10;3;0.6053216;0.4398972;0.2870252;0.0261466;0.4736739;0.4523941;0.0212798;0.0743694;0.6160286;22.5498037;25359;MARI' P.;1993;29;D;1430;8;5;7;1;1;5;0;2;2;0;0;1;1;2;0;1;0;1;0;0;0;0;316.7;367;0;0;5;29;4;9;8;4;0;4;0;0;0;0;0;0;1;0;1;617;351;3;3;0;0;0;0;0;0;0;0;58;9;126;17;2;1;24;12;192;188;122;55;34;86;64;56;41;2;2;21;20;4;0;2;1;0;0;21;0;0;0;0;2;2;0;0;0;0;26.66;26.6;0;;;44.43333333;1.533333333;0;77.02;0;0;;;;;30.25333333;50;42.42727273;62.81333333;55.92142857;72.08666667;75.65333333;74.05769231;53.15384615;;;;;;8324;8324;Pablo Mari Villar;CB;Central Defender;1451.14;370.08;441.87;124860;141410;15915;5659;1982;7641;458;94;552;1243;80;1010;160;443.5;41025;3968;860;287;1147;57;8;65;268;10;221;21;58262;9120;4234;1485;5719;354;74;428;626;22;389;47;97.44752402;110.8544099;131.85326;1.475409836;0.670640835;3.152011923;1.408345753;23.74068554;3.822652757;41.98211624;17.97317437;26.08792846;14.82116244;4.962742176;0.536512668;3907.28763;2751.304024;383.5394933;76.92250373;283.9493294;57.67511177;0.134128167;0.268256334;0.20119225;0;0.134128167;0.067064083;0.268256334;0;0;0.536512668;0.469448584;0.335320417;0.067064083;0;0.067064083;0.20119225;1.94485842;0.603576751;10.8040201;23.61809045;7.035175879;2.512562814;15.82914573;6.909547739;0;0.999976041;8.07E-06;2.91E-08;1.59E-05;Pablo Marí;FALSE;;;;;;;;;Aug 31, 1993;Almussafes;29;193;Spain;Defender - Centre-Back;left;Aug 11, 2022;Jun 30, 2023;adidas;AC Talent;AC Monza;€7.00m;Oct 13, 2020;Pablo Mar;MARI' P.;210178;8324;3;€5.00m;;Obligation to buy with conditions;Arsenal FC;Jun 30, 2024;;;17;15;0;2;1;0;Pablo Mar;5000000
76;Giovanni Di Lorenzo;128;04/08/1993;Italy;FB;Napoli;Wide creator;33;2873;2688;0.8850641;0.8850641;0.5136661;1;0;0;20;20;10;0.304966;3.3100876;3.2822643;2.3814871;4.362228;3.6385862;0.7236418;0.7761456;0.552704;24.9207649;10593;DI LORENZO G.;1993;29;D;3061;11;5;10;2;1;3;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;450;350;100;0;4;133;32;63;23;30;5;20;4;3;0;2;5;7;54;36;18;2236;1788;58;50;13;1;1;0;0;7;3;2;169;33;204;48;77;42;87;40;483;436;284;205;107;87;56;150;92;1;0;21;36;47;7;3;0;0;0;21;0;0;0;0;1;0;0;0;0;0;10;11.11111111;0;;;25;1.727272727;0;89.43636364;31.332;2;0;0;42.85714286;28.57142857;33.52727273;49.79375;45.9137931;57.8;49.43030303;66.9;57.3375;83.895625;51.24;;;;;;14122;14122;Giovanni Di Lorenzo;RWB;Full Back;3080.08;1037.67;800.13;466026;338483;45705;19653;8176;27829;1637;393;2030;3147;219;2669;648;977.8;132483;19414;8006;3825;11831;668;184;852;1134;83;904;163;115971;21713;10305;3697;14002;839;161;1000;1192;49;740;161;109.8942235;127.6735378;144.9401972;1.534980856;2.600069614;5.043508528;5.106160808;26.2826314;20.92586147;37.34075879;35.52384267;23.18134354;28.31883049;5.043508528;5.764009746;3632.923773;4150.180995;438.6286112;370.6195614;322.8158719;250.7970762;0.09397842;0.939784198;1.566306996;0.219282979;2.412112774;0;1.472328576;0.219282979;0.09397842;0.344587539;0.313261399;0.09397842;0.03132614;0.03132614;1.691611556;1.816916116;4.16637661;1.973546815;3.236607143;16.2202381;5.580357143;1.339285714;7.589285714;7.626488095;2;6.38E-21;8.66E-07;0.99999864;4.94E-07;Giovanni Di Lorenzo;FALSE;;;;;;;;;Aug 4, 1993;Castelnuovo di Garfagnana;29;183;Italy;Defender - Right-Back;right;Jul 1, 2019;Jun 30, 2026;Puma;M.A.R.A.T. Football Management;SSC Napoli;€25.00m;Dec 28, 2021;Giovanni Di Lorenzo;DI LORENZO G.;169880;14122;22;€25.00m;Jul 15, 2021;;;;;;34;33;0;1;0;4;Giovanni Di Lorenzo;25000000
77;Marcelo Brozovic;129;16/11/1992;Croatia;CM;Internazionale;Buildup director;35;2951;3013;1.6626828;1.6626828;1.3378769;2;0;2;32;32;22;2.3421833;4.0641009;4.0237194;4.3433497;3.4258862;3.2569873;0.1688989;0.07247;0.5235506;33.264077;7092;BROZOVIC M.;1992;30;C;3102;27;17;10;0;17;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;1183.3;400;900;0;4;233;23;52;10;29;1;10;1;12;5;0;6;6;41;28;13;2580;2196;18;15;6;0;1;0;0;2;2;0;128;33;193;69;74;58;157;102;506;474;253;196;92;54;23;147;85;2;0;26;42;32;0;7;0;0;0;26;0;0;0;0;2;0;0;0;0;0;11.11111111;25;0;;;25;2.371428571;0;93.32857143;37.5;0;0;0;100;0;42.28857143;72.28518519;65.11142857;50.78571429;47.63714286;48.65769231;57.04857143;73.01833333;52.788;;;;;;6707;6707;Marcelo Brozovic;DM;Midfield;3121.46;1076.39;827.63;234745;412170;82914;23583;4027;27610;1880;231;2111;3268;152;3216;465;922.8;170767;40131;10099;1356;11455;823;77;900;1217;50;1110;109;143330;36373;12188;2394;14582;925;113;1038;1117;44;843;114;132.0439794;158.6478878;173.1812525;1.341917994;1.524906811;3.47678753;3.324296849;28.21077601;25.09996611;34.06641816;37.11623179;25.70992884;33.85293121;3.446289393;2.348356489;4371.297865;5208.075229;444.7238224;349.3561505;371.7112843;308.0006777;0.213486954;0.884445951;0.457472043;0.060996272;2.256862081;0;0.975940359;0;0.365977635;0.823449678;0.304981362;0;0.518468316;0.030498136;1.250423585;0.548966452;7.10606574;1.585903084;1.792233654;15.73182874;4.878858281;1.393959509;6.405575838;6.505144374;7;;;;;Marcelo Brozovic;FALSE;0.000116949;4.13E-07;0.000280513;0.999602124;;;;;Nov 16, 1992;Zagreb;30;181;Croatia;midfield - Defensive Midfield;both;Jul 1, 2016;Jun 30, 2026;;Epic Team;Inter Milan;€60.00m;Dec 12, 2019;Marcelo Brozovic;BROZOVIC M.;156617;6707;77;€28.00m;Mar 23, 2022;;;;;;35;35;0;0;1;2;Marcelo Brozovic;28000000
78;Stefano Sturaro;130;09/03/1993;Italy;CM;Genoa;Buildup director;25;1775;896;0.4394133;0.4394133;0.3573158;0;0;0;9;9;8;0;0.9679254;0.9667974;0.8889267;0.8946738;0.9783619;-0.0836881;0.5998571;0.3306774;29.3940231;6509;STURARO S.;1993;29;C;1850;9;2;3;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;100;1;1;33;6;25;2;5;0;3;0;0;0;0;0;0;6;3;3;576;493;30;28;7;0;1;0;0;1;1;0;128;26;85;24;25;11;74;42;465;426;224;233;100;123;60;153;82;0;0;23;51;39;4;11;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0.36;0.24;75.628;30;0;0;0;100;0;42.03913043;38.89333333;63.85652174;44.7;40.96666667;49.76190476;50.3875;53.198125;52.39565217;;;;;;10006;10006;Stefano Sturaro;RWB;Full Back;1859.38;493.06;611.36;250150;240233;42693;13768;4280;18048;1066;202;1268;1894;80;1708;356;710;76252;15038;4474;1329;5803;344;64;408;522;19;397;50;100728;24084;8313;2383;10696;638;106;744;826;30;637;124;129.2005937;154.6505496;164.7605339;1.521126761;0.963380282;6.287323944;2.535211268;32.34929577;17.44225352;41.88169014;26.46760563;32.29859155;20.12957746;5.374647887;3.245070423;5107.335211;3866.298592;542.3323944;294.2366197;421.5042254;226.8507042;0.557746479;0.253521127;1.41971831;0.050704225;1.267605634;0;1.977464789;0.202816901;0;0.456338028;0.152112676;0.101408451;0.304225352;0.050704225;0.304225352;1.521126761;1.673239437;1.267605634;13.72767857;47.54464286;17.07589286;5.691964286;9.486607143;26.00446429;5;;;;;Stefano Sturaro;FALSE;2.57E-17;0.999949007;4.48E-05;6.23E-06;;;;;Mar 9, 1993;Sanremo;30;181;Italy;midfield - Central Midfield;right;Jul 1, 2019;Jun 30, 2023;adidas;;Genoa CFC;€12.00m;Jul 15, 2016;Stefano Sturaro;STURARO S.;167859;10006;27;€2.20m;;;;;;;26;24;1;1;2;10;Stefano Sturaro;2200000
79;Gerard Deulofeu;131;13/03/1994;Spain;FW;Udinese;One-to-one explorer;34;2626;1574;8.3929995;7.6112505;6.127749;13;0;9;78;77;55;10.1134312;7.2860885;5.1943145;8.8319125;7.0267459;3.8919673;3.1347786;2.790257;0;45.5039511;13271;DEULOFEU G.;1994;28;A;2756;63;39;41;2;22;0;1;13;9;1;4;0;13;4;0;0;2;0;1;0;1;0;1875;1550;1400;13;10;111;58;190;21;67;5;44;5;2;0;1;5;6;36;20;16;1041;1088;65;56;15;2;2;0;0;7;5;0;291;25;37;17;192;85;60;51;529;498;174;405;130;37;1;184;48;0;0;46;25;31;33;9;0;0;0;46;0;0;0;0;0;0;0;0;0;0;24.71034483;27.75;21.05263158;100;53.33;14.28571429;0.294117647;0.205882353;74.29411765;26.23333333;3.703703704;0;0;73.34;0;51.5047619;43.31764706;84.736;32.56470588;33.43823529;1.111111111;28.56363636;57.44565217;71.83333333;;;;;;3848;3848;Gerard Deulofeu;CF;Forward;2658.67;694.73;868.11;123136;299994;41174;19205;8406;27611;1676;443;2119;2496;334;2143;497;956;98382;18378;9715;4908;14623;865;257;1122;950;91;550;100;116672;18570;7769;2519;10288;658;127;785;842;83;719;124;112.8361173;141.6118492;134.3977146;2.844630617;3.118811881;4.249809596;3.427265804;22.55140899;29.6458492;28.85757807;32.55902513;24.64204113;18.84996192;4.35262757;8.808073115;3998.659558;3371.812643;352.5971059;501.1690784;266.2642803;332.9588728;0.308453922;2.296268088;1.91926885;0.239908606;6.580350343;0;1.062452399;1.130997715;0.068545316;2.159177456;1.405178979;0;0.753998477;0.068545316;1.233815689;2.227722772;3.804265042;6.511805027;2.350698856;31.63913596;11.68996188;1.588310038;2.350698856;25.73062262;9;;;;;Gerard Deulofeu;FALSE;;;;;7.84E-13;0.991304555;1.18E-06;0.008694268;Mar 13, 1994;Riudarenes;29;177;Spain;Attack - Centre-Forward;right;Jan 30, 2021;Jun 30, 2024;Nike;Regenera Elite;Udinese Calcio;€25.00m;Jun 13, 2019;Gerard Deulofeu;DEULOFEU G.;129476;3848;10;€13.00m;;;;;;;34;31;3;0;1;3;Gerard Deulofeu;13000000
83;Gianluca Caprari;132;30/07/1993;Italy;CAM;Verona;Chance creator;35;2753;1862;6.625429;5.061931;4.7393617;12;0;10;67;65;59;10.0368271;6.0597086;5.1733572;6.2568443;3.3998314;1.8371976;1.5626338;3.9777319;0;40.6593134;5795;CAPRARI G.;1993;29;A;2879;58;41;36;2;22;2;2;12;10;1;2;1;11;3;0;0;0;1;2;0;0;0;2008.4;1600;800;6;12;107;55;203;30;56;7;36;7;5;2;0;9;9;56;25;31;1233;1363;64;54;10;0;2;1;1;8;6;1;297;54;52;25;177;98;57;38;641;567;260;411;154;61;8;235;61;0;0;40;42;74;12;3;0;0;0;40;0;0;0;0;0;0;0;0;0;0;24.7;30.8;12.5;100;66.66666667;10;0.514285714;0.171428571;80.67428571;20.132;0;50;50;75;12.5;51.98148148;49.18235294;63.75;40.93428571;37.40857143;12.47931034;28.89142857;64.49346154;63.25238095;;;;;;3889;3889;Gianluca Caprari;RF;Forward;2798.19;822.37;815.67;132226;317768;49726;19637;5968;25605;1702;353;2055;2782;176;2512;520;961.2;118295;24228;10186;3149;13335;834;173;1007;1006;52;713;115;112502;21190;8224;2257;10481;711;112;823;901;48;753;141;113.5619811;143.8464438;137.9258769;1.569197239;1.699963676;4.609516891;3.759535053;23.24373411;27.26480203;29.45513985;32.88775881;24.61678169;23.30911733;3.661460225;5.655648384;3677.871413;3867.253905;342.6407555;435.9426081;268.8557937;332.9967308;0.098074827;1.830730113;1.765346894;0.261532873;5.78641482;0;2.419179077;0.39229931;0.163458046;1.896113331;1.17689793;0.065383218;0.719215401;0.065383218;1.830730113;2.092262986;3.498002179;6.636396658;3.276047261;30.45112782;12.62083781;2.255639098;2.792696026;22.07303974;9;;;;;Gianluca Caprari;FALSE;;;;;6.63E-09;0.999337561;1.99E-07;0.000662233;Jul 30, 1993;Roma;29;171;Italy;Attack - Second Striker;right;Jul 21, 2022;Jun 30, 2023;;SP GROUP;AC Monza;€10.00m;Oct 12, 2018;Gianluca Caprari;CAPRARI G.;146752;3889;17;€9.00m;;Obligation to buy with conditions;Hellas Verona;-;;;35;33;2;0;0;1;Gianluca Caprari;9000000
84;Gregoire Defrel;133;17/06/1991;France;FW;Sassuolo;One-to-one explorer;38;1345;624;4.0578936;4.0578936;3.4621073;2;0;1;27;27;24;2.6072991;1.4844222;1.4833266;2.1960708;0.3028435;-0.0653729;0.3682164;2.0882229;0.0225706;23.9707762;6737;DEFREL G.;1991;31;A;1494;21;12;19;5;2;7;0;2;2;0;0;2;0;2;0;0;1;1;0;0;0;0;840;840;100;8;5;27;9;90;15;19;2;6;1;0;0;0;2;2;7;2;5;372;492;3;2;1;0;0;0;0;1;0;0;111;35;29;11;39;19;27;22;308;290;107;198;63;60;17;148;48;1;0;32;16;18;3;3;0;0;0;32;0;0;0;0;1;0;0;0;0;0;15.38461538;16.66666667;0;;40;0;0.552631579;0.342105263;89.82972973;50;0;;;0;0;42.70526316;52.54210526;77.27272727;36.95675676;33.67027027;31.12083333;31.07714286;36.82625;64.2;;;;;;4061;4061;Gregoire Defrel;RW;Winger;1418.05;466.14;383.15;142135;157655;22618;9260;2918;12178;803;168;971;1529;155;1248;311;975.6;59531;9670;4369;1459;5828;362;75;437;609;42;382;60;54107;10639;4298;1172;5470;339;62;401;445;40;343;85;111.177321;127.7105591;141.2162339;2.676579926;2.810408922;5.687732342;4.014869888;22.68401487;24.22304833;29.77695167;40.75092937;22.95167286;25.56133829;4.148698885;5.018587361;3620.542751;3983.486989;366.0223048;389.9776952;287.598513;292.3494424;0.200743494;1.271375465;0.133828996;0.066914498;2.609665428;0;1.204460967;0.200743494;0;1.405204461;1.271375465;0.468401487;0.133828996;0;0.468401487;0.200743494;1.80669145;6.022304833;9.615384615;46.47435897;23.71794872;2.564102564;4.647435897;31.73076923;8;;;;;Gregoire Defrel;FALSE;;;;;0.990626341;0.003690958;0.005681486;1.22E-06;Jun 17, 1991;Meudon;31;179;France / Martinique;Attack - Centre-Forward;left;Sep 1, 2020;Jun 30, 2024;Nike;GP Soccer and Management Srl;US Sassuolo;€12.00m;Oct 12, 2018;Gr goire Defrel;DEFREL G.;163222;4061;92;€2.00m;;;;;;;38;11;27;0;0;0;Gr goire Defrel;2000000
85;Berat Djimsiti;134;19/02/1993;Albania;CB;Atalanta;Buildup initiator;31;2254;1689;1.817318;1.817318;0.4106432;1;0;0;18;18;6;1.1723127;1.1187755;1.1082897;1.0640481;1.3277927;1.1418564;0.1859363;-0.2065078;0.5288996;30.7765202;10288;DJIMSITI B.;1993;29;D;2412;11;5;8;1;3;6;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;400;300;100;4;1;52;8;14;9;11;1;7;0;0;0;0;1;1;7;4;3;1407;1044;8;7;5;0;1;0;0;0;0;0;88;25;212;56;14;10;64;33;329;316;212;98;59;112;83;105;75;2;2;28;21;13;1;6;0;0;0;28;0;0;0;0;2;2;0;0;0;0;10;14.28571429;0;;25;0;2.290322581;0;87.54516129;66.66666667;0;0;0;;;37.3;70;49.10714286;61.37741935;62.49285714;78.11;66.35;61.49055556;49.57777778;;;;;;1317;1317;Berat Djimsiti;RCB;Central Defender;2426.45;786.93;733.2;40827;272387;37891;13255;3867;17122;1071;179;1250;2221;152;2006;373;866.1;99971;13739;3473;674;4147;250;25;275;687;19;613;76;103333;19247;8397;2679;11076;683;118;801;1010;45;698;109;112.2574131;127.0392538;140.9342608;1.796805679;0.758651287;4.352262644;3.034605146;27.2715173;9.982253771;40.32830524;27.43123336;27.87045253;24.47648625;4.71162378;0.998225377;4125.984916;3991.743567;442.2537711;165.5856256;335.2839397;138.6734694;0.239574091;0.439219166;0.279503106;0;0.559006211;0;0.519077196;0.039929015;0;0.439219166;0.319432121;0.239574091;0.119787045;0.039929015;0.279503106;0.319432121;2.076308784;0.559006211;6.631142688;18.70929544;6.21669627;1.243339254;12.5518058;5.802249852;3;0.149568011;0.032607486;4.05E-05;0.817783969;Berat Djimsiti;FALSE;;;;;;;;;Feb 19, 1993;Zürich;30;190;Albania / Switzerland;Defender - Centre-Back;right;Jan 18, 2016;Jun 30, 2026;;Soccer Mondial AG;Atalanta BC;€22.00m;Mar 23, 2021;Berat Djimsiti;DJIMSITI B.;165513;1317;19;€13.00m;Mar 21, 2022;;;;;;32;25;6;1;1;5;Berat Djimsiti;13000000
86;Jordan Veretout;135;01/03/1993;France;CM;Roma;Buildup director;36;2321;1674;4.7444699;3.1809719;2.6265402;4;0;3;29;27;20;5.8787329;3.8092635;1.4826533;2.7344625;1.7684799;1.2599499;0.50853;1.0534452;0.0369625;30.5286249;13420;VERETOUT J.;1993;29;C;2497;26;14;14;0;12;0;2;4;4;0;0;0;4;1;0;0;0;0;1;0;0;0;1000;900;400;5;3;107;34;44;11;40;8;27;6;7;1;1;9;10;12;6;6;1350;1089;29;25;5;0;0;0;0;4;1;0;128;25;97;35;19;12;59;39;253;231;131;94;47;34;16;102;61;0;0;29;19;22;0;6;0;0;0;29;0;0;0;0;0;0;0;0;0;0;10;25;0;50;50;0;0.194444444;0;85.56857143;20.83125;0;;;25;0;41.03333333;57.69230769;69.94285714;47.14848485;47.22857143;44.11176471;59.58333333;56.03333333;48.3875;;;;;;5324;5324;Jordan Veretout;LM;Midfield;2506.82;757.23;733.71;191664;299616;48900;16951;4995;21946;1352;245;1597;2580;135;2248;345;1007.5;109075;20056;7006;2492;9498;537;110;647;807;40;631;61;115261;25330;8874;2100;10974;710;106;816;1015;48;775;109;119.5203485;144.044742;157.093402;1.861266695;1.551055579;4.226626454;2.365359759;27.53123654;20.82292115;39.35803533;31.29254632;30.05170185;24.46790177;4.110297286;4.265402844;4469.405429;4229.534683;425.5320982;368.2981474;344.1016803;271.6673847;0.232658337;1.551055579;0.969409737;0.155105558;0.7367514;0;0.853080569;0;0.271434726;1.008186127;0.542869453;0;0.465316674;0;0.465316674;1.124515295;4.149073675;1.706161137;2.031063321;13.79928315;6.093189964;1.135005974;5.794504182;5.615292712;6;;;;;Jordan Veretout;FALSE;0.008565902;0.009628549;0.838796403;0.143009146;;;;;Mar 1, 1993;Ancenis;30;177;France;midfield - Defensive Midfield;right;Aug 5, 2022;Jun 30, 2025;adidas;Kelyxane Sport Agency;Olympique Marseille;€35.00m;Mar 23, 2021;Jordan Veretout;VERETOUT J.;164771;5324;27;€14.00m;;club option 1 year;;;;;36;26;10;0;1;1;Jordan Veretout;14000000
87;Alessandro Florenzi;136;11/03/1991;Italy;FB;Milan;Wide creator;24;1151;957;0.7649715;0.7649715;0.4394548;2;0;1;22;22;11;1.0841329;1.5361614;1.2380012;1.3633269;1.4575372;1.1302893;0.3272479;-0.0137377;0.0952688;10.8598489;6958;FLORENZI A.;1991;31;D;1244;20;7;5;0;15;1;0;2;1;0;1;0;2;1;0;0;0;0;0;0;1;0;525;150;375;2;2;48;16;28;7;11;0;8;0;3;0;0;0;0;11;8;3;783;572;38;35;10;0;2;0;0;1;0;0;75;12;71;16;14;11;43;25;176;167;92;81;40;24;13;77;41;0;0;10;9;9;4;2;0;0;0;10;0;0;0;0;0;0;0;0;0;0;14.28571429;33.33333333;9.090909091;;0;50;0.875;0;81.8125;38.22;0;0;0;0;0;36.96875;81.47777778;57.87777778;50.51818182;46.25789474;54.76428571;51.05;63.57142857;56.48333333;;;;;;456;456;Alessandro Florenzi;RWB;Full Back;1202.44;401.96;334.11;10488;133960;19351;7688;2217;9905;681;109;790;1246;105;1109;194;638.7;50225;7447;3089;894;3983;259;42;301;423;30;333;40;48408;9912;4102;1076;5178;364;46;410;496;31;332;57;111.4068062;124.9502438;144.8864147;2.423979149;2.345786273;4.456993918;3.12771503;28.46220678;20.25195482;38.78366638;33.07558645;25.96003475;26.03822763;3.596872285;3.284100782;3785.16073;3927.237185;404.8827107;311.4422242;320.7471764;241.5377932;0.156385752;0.860121633;2.736750652;0.078192876;1.094700261;0;0.703735882;0.312771503;0.234578627;1.563857515;0.390964379;0.078192876;1.172893136;0.156385752;0.860121633;2.971329279;3.753258036;2.189400521;2.507836991;17.45036573;8.045977011;0.940438871;7.419017764;8.463949843;2;5.40E-37;4.35E-11;1;5.82E-13;Alessandro Florenzi;FALSE;;;;;;;;;Mar 11, 1991;Roma;32;173;Italy;Defender - Right-Back;right;Jul 1, 2022;Jun 30, 2025;Nike;World Soccer Agency;AC Milan;€30.00m;Jun 7, 2018;Alessandro Florenzi;FLORENZI A.;130365;456;25;€2.50m;;;;;;;28;12;12;4;0;10;Alessandro Florenzi;2500000
