Date of birth;Place of birth;Age;Height;Citizenship;Position;Foot;Joined;Contract expires;Outfitter;Player agent;Current club;Max_Val;Date_Max_Val;Name;NAME N.;tranfermarkt_id;Player_id;Numero;Valore;Date of last contract extension;Contract option;On loan from;Contract there expires;2nd club;3nd club
Sep 21, 1993;Split;29;185;Croatia;Attack - Left Winger;right;Sep 12, 2020;Jun 30, 2025;Nike;LIAN Sports Group;AC Milan;€40.00m;Jun 5, 2019;Ante Rebic;REBIC A.;187587;99999999;12;€10.00m;;;;;;
Dec 3, 1994;Příbram;28;190;Czech Republic;midfield - Attacking Midfield;left;Jan 31, 2023;Jun 30, 2027;;Relatives;ACF Fiorentina;€20.00m;Mar 15, 2022;Antonin Barak;BARAK A.;272261;11338;72;€12.00m;;;;;;
Mar 27, 1990;Messina;33;183;Italy;Attack - Left Winger;right;Jan 31, 2023;Jun 30, 2024;;TMP SOCCER srl;ACR Messina;€2.00m;Jan 2, 2017;Antonino Ragusa;RAGUSA A.;102470;99999999;90;€400k;;;;;;
Feb 28, 1987;Roma;36;180;Italy;midfield - Right Midfield;right;Aug 12, 2022;Jun 30, 2023;;P&P Sport Management S.A.M.;US Salernitana 1919;€27.00m;Jul 1, 2015;Antonio Candreva;CANDREVA A.;25488;965;87;€1.50m;;Obligation to buy with conditions;UC Sampdoria;Jun 30, 2024;;
Dec 19, 2002;Maddaloni;20;180;Italy;Attack - Left Winger;right;Jul 9, 2022;Jun 30, 2023;Nike;Vigo Global Sport Services Srl;US Città di Pontedera;€600k;Jun 3, 2021;Antonio Cioffi;CIOFFI A.;566936;99999999;11;€400k;;;Napoli Primavera;-;;
May 13, 1990;Napoli;32;170;Italy;midfield - Defensive Midfield;right;Jan 19, 2023;Jun 30, 2024;Mizuno;Avvocato Claudio Parlato;Calcio Foggia 1920;€800k;Dec 28, 2021;Antonio Junior Vacca;VACCA A.;102984;27657;5;€500k;;;;;;
Jul 8, 1983;Castellammare di Stabia;39;193;Italy;Goalkeeper;right;Oct 13, 2021;Jun 30, 2023;Nike;GG11;AC Milan;€6.00m;Jul 1, 2014;Antonio Mirante;MIRANTE A.;22141;99999999;83;€300k;Jul 1, 2022;;;;;
May 23, 2003;San Gennaro Vesuviano;19;;Italy;midfield - Central Midfield;;Jul 1, 2022;Jun 30, 2024;;Vigo Global Sport Services Srl;US Salernitana 1919;€75k;Nov 11, 2022;Antonio Pio Iervolino;IERVOLINO A.;704347;99999999;39;€75k;;;;;Salernitana Primavera (#4);
Mar 18, 2004;Ravenna;19;185;Italy;Attack - Centre-Forward;left;Jul 1, 2022;Jun 30, 2027;;;Bologna FC 1909;€700k;Mar 21, 2023;Antonio Raimondo;RAIMONDO A.;818888;99999999;18;€700k;May 10, 2022;;;;Bologna Primavera (#10);
Mar 4, 1996;San Lorenzo;27;181;Paraguay / Spain;Attack - Centre-Forward;right;Jan 31, 2021;Jun 30, 2025;;GG11;Torino FC;€10.00m;Mar 1, 2019;Antonio Sanabria;SANABRIA A.;234523;995;9;€7.00m;;;;;;
Feb 29, 1992;Parma;31;192;Dominican Republic / Italy;Goalkeeper;right;Nov 1, 2022;Jun 30, 2023;;Relatives;Parma Calcio 1913;€200k;Jun 23, 2017;Antonio Santurro;SANTURRO A.;130388;99999999;29;€50k;;;;;;
Jan 16, 2003;Frattaminore;20;182;Italy;midfield - Attacking Midfield;left;Jul 15, 2022;Jun 30, 2023;;M.A.R.A.T. Football Management;FC Pro Vercelli 1892;€175k;Dec 19, 2022;Antonio Vergara;VERGARA A.;703245;99999999;30;€175k;;;Napoli Primavera;-;;
Sep 30, 1996;Majac, Besianë;26;185;Albania / Kosovo;Defender - Centre-Back;right;Aug 9, 2021;Jun 30, 2025;;Relatives;FC Empoli;€3.50m;Mar 21, 2023;Ardian Ismajli;ISMAJLI A.;435228;16569;34;€3.50m;;;;;;
Jun 17, 1995;Chojnice;27;187;Poland;Defender - Left-Back;left;Jul 1, 2022;Jun 30, 2025;Nike;topgoal sports management;Spezia Calcio;€4.00m;Jul 3, 2018;Arkadiusz Reca;RECA A.;268178;12501;13;€3.00m;;;;;;
Mar 2, 1992;Napoli;31;183;Italy;Defender - Centre-Back;right;Sep 1, 2022;Jun 30, 2023;;G.E.V. Sport&management srl;AC Monza;€25.00m;Dec 12, 2019;Armando Izzo;IZZO A.;32113;99999999;55;€2.80m;;;Torino FC;Jun 30, 2024;;
May 15, 1999;Akranes;23;177;Iceland;midfield - Attacking Midfield;right;Jul 15, 2022;Jun 30, 2023;Nike;CAA Stellar;IFK Norrköping;€7.00m;Jun 14, 2019;Arn r Sigurdsson;SIGURDSSON A.;377665;99999999;8;€3.50m;;;CSKA Moscow;Jun 30, 2024;;
Apr 25, 1998;Campina Grande;24;186;Brazil;Attack - Centre-Forward;right;Jan 29, 2022;Jun 30, 2026;;;ACF Fiorentina;€15.00m;Oct 4, 2021;Arthur Cabral;CABRAL A.;390638;99999999;9;€14.00m;;;;;;
Aug 12, 1996;Goiânia;26;172;Brazil;midfield - Central Midfield;right;Sep 1, 2022;Jun 30, 2023;Nike;P&P Sport Management S.A.M.;Liverpool FC;€70.00m;Jun 11, 2019;Arthur Melo;ARTHUR;362842;12644;29;€15.00m;;Option to buy;Juventus FC;Jun 30, 2025;;
May 25, 2000;Liège;22;185;Belgium;Defender - Centre-Back;left;Jul 29, 2022;Jun 30, 2026;;DVL Management;Stade Rennais FC;€20.00m;Nov 2, 2022;Arthur Theate;THEATE A.;368891;32269;5;€20.00m;;;;;;
May 22, 1987;San Joaquín;35;180;Chile;midfield - Central Midfield;right;Jul 18, 2022;Dec 31, 2023;Nike;Fernando Felicevich;CR Flamengo;€45.00m;Jul 11, 2014;Arturo Vidal;VIDAL A.;37666;99999999;32;€1.20m;;;;;;
Aug 18, 2003;;19;;Albania / Italy;Attack - Left Winger;;Jul 1, 2021;-;;SMF AGENCY SPORTS;Sassuolo Primavera;€75k;Jun 23, 2022;Asan Mata;MATA A.;691828;99999999;18;€75k;;;;;;
Jan 18, 1999;Colmar;24;179;France / Cameroon;midfield - Defensive Midfield;left;Jan 13, 2023;Jun 30, 2023;;BS Group - BS Law;Jagiellonia Bialystok;€500k;Sep 30, 2019;Aur lien Nguiamba;NGUIAMBA A.;344595;99999999;39;€300k;;;Spezia Calcio;Jun 30, 2024;;
Nov 14, 1997;Bunia;25;185;England / DR Congo;Defender - Centre-Back;right;Jan 31, 2023;May 31, 2023;;Relatives;Stoke City;€10.00m;Dec 10, 2019;Axel Tuanzebe;TUANZEBE A.;342046;99999999;5;€6.00m;;;Manchester United;Jun 30, 2023;;
Aug 19, 1997;Białystok;25;191;Poland;Goalkeeper;right;Aug 10, 2022;Jun 30, 2025;Mizuno;Mariusz Kulesza;Spezia Calcio;€16.00m;Jun 3, 2021;Bartlomiej Dragowski;DRAGOWSKI B.;208166;99999999;69;€4.50m;;;;;;
Jul 12, 1992;Poznań;30;183;Poland;Defender - Right-Back;right;Jan 7, 2023;Jun 30, 2023;Puma;Fabryka Futbolu;SSC Napoli;€12.00m;Jun 7, 2018;Bartosz Bereszynski;BERESZYNSKI B.;144143;1210;19;€2.00m;;Option to buy;UC Sampdoria;Jun 30, 2025;;
Mar 14, 2000;Abidjan;23;172;Cote d'Ivoire;midfield - Attacking Midfield;left;Aug 1, 2022;Jun 30, 2023;;Gea World;Frosinone Calcio;€900k;Dec 22, 2022;Ben Lhassine Kone;KONE B.;522681;99999999;4;€900k;;Buy-option with buy-back option;Torino FC;Jun 30, 2024;;
Sep 15, 1999;Pozzuoli;23;182;Italy;Goalkeeper;right;Aug 19, 2021;Jun 30, 2023;;;SSC Napoli;€100k;Jun 27, 2018;Davide Marfella;MARFELLA D.;417414;99999999;12;€50k;;club option 2 years;;;;
Feb 19, 1993;Zürich;30;190;Albania / Switzerland;Defender - Centre-Back;right;Jan 18, 2016;Jun 30, 2026;;Soccer Mondial AG;Atalanta BC;€22.00m;Mar 23, 2021;Berat Djimsiti;DJIMSITI B.;165513;1317;19;€13.00m;Mar 21, 2022;;;;;
Jan 31, 1998;Lisboa;25;194;Portugal / Guinea-Bissau;Attack - Centre-Forward;right;Jul 1, 2022;Jun 30, 2026;;PR10;Udinese Calcio;€13.00m;Sep 27, 2022;Beto;BETO;595809;29252;9;€13.00m;;;;;;
