Player,Team,Match,Competition,Position,Position Group,Season,Minutes Played,Minutes Played TIP,Minutes Played OTIP,Player ID,Birthdate,Date,Physicals Quality Check,Distance,M/min,Running Distance,HSR Distance,Sprinting Distance,HI Distance,Count HSR,Count Sprint,Count HI,Count Medium Acceleration,Count High Acceleration,Count Medium Deceleration,Count High Deceleration,PSV-99,Distance TIP,M/min TIP,Running Distance TIP,HSR Distance TIP,Sprinting Distance TIP,HI Distance TIP,Count HSR TIP,Count Sprint TIP,Count HI TIP,Count Medium Acceleration TIP,Count High Acceleration TIP,Count Medium Deceleration TIP,Count High Deceleration TIP,Distance OTIP,M/min OTIP,Running Distance OTIP,HSR Distance OTIP,Sprinting Distance OTIP,HI Distance OTIP,Count HSR OTIP,Count Sprint OTIP,Count HI OTIP,Count Medium Acceleration OTIP,Count High Acceleration OTIP,Count Medium Deceleration OTIP,Count High Deceleration OTIP,matchday
Francesco Caputo,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,CF,Forward,2021/2022,95.67,30.32,23.05,3539,1987-08-06,2021-08-21,Passed,9235.0,96.53,1036.0,520.0,111.0,631.0,46.0,8.0,54.0,84.0,13.0,69.0,20.0,27.1,3465.0,114.28,505.0,265.0,70.0,335.0,24.0,5.0,29.0,41.0,4.0,26.0,5.0,2730.0,118.44,417.0,200.0,39.0,239.0,16.0,2.0,18.0,22.0,2.0,16.0,4.0,1
Pawel Dawidowicz,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,RCB,Central Defender,2021/2022,102.89,25.6,32.83,8542,1995-05-20,2021-08-21,Passed,11134.0,108.21,1314.0,476.0,182.0,658.0,36.0,9.0,45.0,103.0,8.0,73.0,20.0,29.8,3047.0,119.02,419.0,106.0,33.0,139.0,7.0,1.0,8.0,21.0,0.0,16.0,2.0,4466.0,136.03,661.0,294.0,110.0,404.0,23.0,7.0,30.0,56.0,3.0,34.0,5.0,1
Antonín Barák,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,AM,Midfield,2021/2022,78.62,19.68,23.55,11338,1994-12-03,2021-08-21,Passed,8854.0,112.62,1174.0,417.0,153.0,570.0,32.0,6.0,38.0,76.0,6.0,54.0,14.0,28.7,2759.0,140.19,442.0,149.0,79.0,228.0,12.0,3.0,15.0,23.0,1.0,14.0,2.0,3405.0,144.59,650.0,235.0,53.0,288.0,17.0,3.0,20.0,29.0,1.0,19.0,5.0,1
Filip Djuricic,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,RW,Winger,2021/2022,88.84,28.23,21.88,3437,1992-01-30,2021-08-21,Passed,9848.0,110.85,1314.0,528.0,170.0,698.0,42.0,6.0,48.0,83.0,5.0,69.0,17.0,28.4,3590.0,127.17,529.0,230.0,78.0,308.0,19.0,2.0,21.0,37.0,1.0,21.0,3.0,3174.0,145.06,647.0,247.0,87.0,334.0,20.0,3.0,23.0,26.0,1.0,19.0,6.0,1
Matteo Cancellieri,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,RW,Winger,2021/2022,52.6,11.37,20.83,33335,2002-02-12,2021-08-21,Passed,5691.0,108.19,765.0,430.0,106.0,536.0,33.0,8.0,41.0,50.0,6.0,52.0,14.0,29.0,1379.0,121.28,218.0,143.0,42.0,185.0,12.0,2.0,14.0,15.0,1.0,9.0,1.0,2749.0,131.97,495.0,249.0,50.0,299.0,19.0,3.0,22.0,26.0,3.0,27.0,9.0,1
Giangiacomo Magnani,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,RCB,Central Defender,2021/2022,24.27,5.92,9.28,14170,1995-10-04,2021-08-21,Passed,2800.0,115.37,374.0,139.0,74.0,213.0,10.0,4.0,14.0,24.0,2.0,20.0,5.0,29.8,795.0,134.29,110.0,37.0,39.0,76.0,1.0,2.0,3.0,5.0,0.0,4.0,1.0,1233.0,132.87,200.0,96.0,14.0,110.0,7.0,1.0,8.0,13.0,1.0,9.0,1.0,1
Kaan Ayhan,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,RCB,Central Defender,2021/2022,7.22,2.52,2.53,5655,1994-11-10,2021-08-21,Passed,855.0,118.42,92.0,10.0,0.0,10.0,2.0,0.0,2.0,5.0,0.0,5.0,0.0,,356.0,141.27,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,275.0,108.7,27.0,10.0,0.0,10.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,1
Samuel Di Carmine,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,CF,Forward,2021/2022,42.97,9.35,16.07,19694,1988-09-29,2021-08-21,Passed,4684.0,109.01,647.0,221.0,48.0,269.0,25.0,2.0,27.0,46.0,4.0,37.0,14.0,27.4,1154.0,123.42,198.0,93.0,26.0,119.0,9.0,1.0,10.0,12.0,0.0,7.0,1.0,2032.0,126.45,352.0,101.0,22.0,123.0,12.0,1.0,13.0,22.0,1.0,18.0,6.0,1
Adrien Tameze,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,RM,Midfield,2021/2022,42.97,9.35,16.07,11508,1994-02-04,2021-08-21,Passed,4898.0,113.99,780.0,136.0,10.0,146.0,12.0,0.0,12.0,58.0,1.0,41.0,5.0,23.6,1118.0,119.57,196.0,29.0,0.0,29.0,3.0,0.0,3.0,10.0,0.0,6.0,1.0,2432.0,151.34,518.0,99.0,10.0,109.0,9.0,0.0,9.0,33.0,0.0,23.0,2.0,1
Ivan Ilic,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,LM,Midfield,2021/2022,24.27,5.92,9.28,12355,2001-03-17,2021-08-21,Passed,3163.0,130.33,549.0,159.0,49.0,208.0,15.0,2.0,17.0,22.0,2.0,25.0,5.0,28.6,883.0,149.16,188.0,50.0,9.0,59.0,5.0,0.0,5.0,4.0,0.0,4.0,1.0,1497.0,161.31,324.0,99.0,39.0,138.0,8.0,1.0,9.0,10.0,1.0,10.0,1.0,1
Gianluca Scamacca,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,CF,Forward,2021/2022,7.22,2.52,2.53,14479,1999-01-01,2021-08-21,Passed,921.0,127.56,96.0,50.0,68.0,118.0,2.0,3.0,5.0,8.0,2.0,4.0,4.0,31.7,301.0,119.44,42.0,21.0,44.0,65.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,252.0,99.6,32.0,18.0,24.0,42.0,0.0,1.0,1.0,5.0,1.0,1.0,2.0,1
Francesco Magnanelli,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,RM,Midfield,2021/2022,14.05,4.6,3.7,3546,1984-11-12,2021-08-21,Passed,1695.0,120.64,269.0,67.0,27.0,94.0,4.0,1.0,5.0,16.0,1.0,8.0,2.0,26.1,617.0,134.13,104.0,18.0,0.0,18.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,547.0,147.84,155.0,46.0,18.0,64.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,1
Gregoire Defrel,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,RW,Winger,2021/2022,14.05,4.6,3.7,4061,1991-06-17,2021-08-21,Passed,1510.0,107.47,174.0,59.0,7.0,66.0,5.0,0.0,5.0,15.0,3.0,9.0,5.0,24.7,548.0,119.13,84.0,26.0,0.0,26.0,2.0,0.0,2.0,7.0,0.0,2.0,1.0,405.0,109.46,72.0,32.0,7.0,39.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,1
Hamed Junior Traore,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,AM,Midfield,2021/2022,31.02,10.5,6.55,14123,2000-02-16,2021-08-21,Passed,3503.0,112.93,478.0,123.0,53.0,176.0,13.0,3.0,16.0,27.0,2.0,25.0,4.0,28.1,1449.0,138.0,243.0,56.0,40.0,96.0,6.0,2.0,8.0,11.0,1.0,12.0,2.0,964.0,147.18,204.0,58.0,12.0,70.0,6.0,1.0,7.0,8.0,0.0,4.0,0.0,1
Sergej Milinkovic-Savic,Lazio,Empoli v Lazio,ITA - Serie A,RM,Midfield,2021/2022,69.05,22.94,23.29,9729,1995-02-27,2021-08-21,Passed,9254.0,134.02,1544.0,613.0,73.0,686.0,45.0,8.0,53.0,66.0,2.0,69.0,10.0,26.3,3328.0,145.07,555.0,199.0,21.0,220.0,15.0,2.0,17.0,20.0,1.0,21.0,2.0,3791.0,162.77,893.0,352.0,47.0,399.0,27.0,5.0,32.0,27.0,0.0,21.0,4.0,1
Ciro Immobile,Lazio,Empoli v Lazio,ITA - Serie A,CF,Forward,2021/2022,81.13,27.59,26.29,1921,1990-02-20,2021-08-21,Passed,10331.0,127.34,1653.0,1017.0,425.0,1442.0,77.0,26.0,103.0,83.0,12.0,77.0,15.0,28.8,3913.0,141.83,670.0,494.0,201.0,695.0,36.0,12.0,48.0,37.0,3.0,24.0,3.0,3875.0,147.39,782.0,408.0,152.0,560.0,30.0,10.0,40.0,23.0,3.0,19.0,6.0,1
Leonardo Mancuso,Empoli,Empoli v Lazio,ITA - Serie A,RF,Forward,2021/2022,81.5,26.3,27.59,19788,1992-05-26,2021-08-21,Passed,9084.0,111.46,1096.0,586.0,293.0,879.0,52.0,14.0,66.0,67.0,11.0,65.0,18.0,30.4,3380.0,128.52,523.0,311.0,167.0,478.0,28.0,8.0,36.0,28.0,2.0,20.0,4.0,3479.0,126.1,513.0,242.0,99.0,341.0,20.0,4.0,24.0,22.0,4.0,20.0,4.0,1
Pedro Rodriguez,Lazio,Empoli v Lazio,ITA - Serie A,RF,Forward,2021/2022,59.08,19.05,19.95,8592,1987-07-28,2021-08-21,Passed,7527.0,127.4,1308.0,609.0,101.0,710.0,49.0,8.0,57.0,53.0,6.0,53.0,13.0,27.5,2814.0,147.72,554.0,277.0,59.0,336.0,23.0,4.0,27.0,21.0,1.0,13.0,3.0,2860.0,143.36,631.0,269.0,37.0,306.0,20.0,3.0,23.0,16.0,1.0,18.0,4.0,1
Felipe Anderson,Lazio,Empoli v Lazio,ITA - Serie A,LF,Forward,2021/2022,94.27,30.5,32.8,3353,1993-04-15,2021-08-21,Passed,11391.0,120.83,1999.0,789.0,382.0,1171.0,70.0,17.0,87.0,97.0,12.0,85.0,25.0,29.5,4015.0,131.64,779.0,375.0,230.0,605.0,34.0,10.0,44.0,42.0,3.0,27.0,4.0,4673.0,142.47,1030.0,317.0,114.0,431.0,31.0,4.0,35.0,31.0,2.0,28.0,8.0,1
Petar Stojanovic,Empoli,Empoli v Lazio,ITA - Serie A,RWB,Full Back,2021/2022,81.5,26.3,27.59,12434,1995-10-07,2021-08-21,Passed,9092.0,111.56,1355.0,452.0,273.0,725.0,42.0,12.0,54.0,82.0,7.0,66.0,14.0,29.8,3266.0,124.18,487.0,224.0,142.0,366.0,18.0,7.0,25.0,23.0,0.0,20.0,3.0,3642.0,132.0,724.0,188.0,110.0,298.0,21.0,4.0,25.0,33.0,4.0,23.0,6.0,1
Simone Romagnoli,Empoli,Empoli v Lazio,ITA - Serie A,LCB,Central Defender,2021/2022,94.27,32.8,30.5,9897,1990-02-09,2021-08-21,Passed,10367.0,109.97,1314.0,509.0,118.0,627.0,41.0,6.0,47.0,81.0,4.0,68.0,14.0,28.4,4006.0,122.13,536.0,125.0,17.0,142.0,9.0,1.0,10.0,28.0,0.0,26.0,2.0,3911.0,128.23,598.0,290.0,62.0,352.0,25.0,3.0,28.0,35.0,1.0,22.0,4.0,1
Manuel Lazzari,Lazio,Empoli v Lazio,ITA - Serie A,RWB,Full Back,2021/2022,94.27,30.5,32.8,12578,1993-11-29,2021-08-21,Passed,11062.0,117.34,1685.0,725.0,323.0,1048.0,59.0,12.0,71.0,76.0,8.0,80.0,21.0,31.5,3905.0,128.03,624.0,299.0,141.0,440.0,22.0,5.0,27.0,26.0,2.0,23.0,4.0,4447.0,135.58,830.0,336.0,145.0,481.0,31.0,5.0,36.0,37.0,2.0,29.0,8.0,1
Filippo Bandinelli,Empoli,Empoli v Lazio,ITA - Serie A,LM,Midfield,2021/2022,68.7,23.29,22.64,19973,1995-03-29,2021-08-21,Passed,8966.0,130.51,1685.0,585.0,240.0,825.0,48.0,11.0,59.0,67.0,7.0,61.0,17.0,31.1,3496.0,150.11,746.0,289.0,125.0,414.0,22.0,4.0,26.0,20.0,1.0,19.0,3.0,3467.0,153.14,789.0,261.0,95.0,356.0,22.0,5.0,27.0,23.0,2.0,18.0,5.0,1
Nedim Bajrami,Empoli,Empoli v Lazio,ITA - Serie A,AM,Midfield,2021/2022,94.27,32.8,30.5,24411,1999-02-28,2021-08-21,Passed,11212.0,118.93,1364.0,462.0,289.0,751.0,37.0,9.0,46.0,71.0,10.0,80.0,18.0,32.1,4354.0,132.74,710.0,221.0,135.0,356.0,17.0,4.0,21.0,24.0,2.0,26.0,5.0,4371.0,143.31,578.0,199.0,125.0,324.0,17.0,4.0,21.0,29.0,2.0,26.0,4.0,1
Francesco Acerbi,Lazio,Empoli v Lazio,ITA - Serie A,LCB,Central Defender,2021/2022,94.27,30.5,32.8,3532,1988-02-10,2021-08-21,Passed,10435.0,110.69,1449.0,556.0,121.0,677.0,51.0,6.0,57.0,83.0,5.0,74.0,17.0,29.3,3559.0,116.69,446.0,122.0,8.0,130.0,10.0,1.0,11.0,23.0,0.0,20.0,3.0,4472.0,136.34,811.0,358.0,103.0,461.0,35.0,5.0,40.0,38.0,1.0,29.0,5.0,1
Elseid Hysaj,Lazio,Empoli v Lazio,ITA - Serie A,LWB,Full Back,2021/2022,94.27,30.5,32.8,3022,1994-02-02,2021-08-21,Passed,11125.0,118.01,1595.0,744.0,315.0,1059.0,58.0,13.0,71.0,91.0,10.0,88.0,22.0,29.7,3888.0,127.48,624.0,261.0,159.0,420.0,21.0,3.0,24.0,29.0,2.0,23.0,5.0,4550.0,138.72,782.0,409.0,154.0,563.0,36.0,8.0,44.0,39.0,4.0,31.0,7.0,1
Nicolas Haas,Empoli,Empoli v Lazio,ITA - Serie A,RM,Midfield,2021/2022,74.87,24.45,25.04,8017,1996-01-23,2021-08-21,Passed,10093.0,134.81,2044.0,916.0,148.0,1064.0,67.0,7.0,74.0,90.0,11.0,82.0,20.0,27.5,3781.0,154.64,902.0,361.0,37.0,398.0,32.0,2.0,34.0,28.0,1.0,25.0,3.0,4035.0,161.14,971.0,450.0,93.0,543.0,33.0,4.0,37.0,35.0,3.0,25.0,6.0,1
Patrick Cutrone,Empoli,Empoli v Lazio,ITA - Serie A,CF,Forward,2021/2022,74.87,24.45,25.04,11537,1998-01-03,2021-08-21,Passed,8757.0,116.96,1364.0,621.0,198.0,819.0,53.0,10.0,63.0,62.0,11.0,59.0,21.0,27.9,3383.0,138.36,656.0,377.0,138.0,515.0,31.0,7.0,38.0,27.0,4.0,19.0,5.0,3110.0,124.2,539.0,176.0,41.0,217.0,17.0,2.0,19.0,17.0,2.0,15.0,4.0,1
Felipe Luiz,Lazio,Empoli v Lazio,ITA - Serie A,RCB,Central Defender,2021/2022,94.27,30.5,32.8,12975,1997-03-22,2021-08-21,Passed,10219.0,108.4,1274.0,432.0,183.0,615.0,37.0,9.0,46.0,74.0,7.0,80.0,14.0,30.4,3631.0,119.05,411.0,73.0,38.0,111.0,4.0,2.0,6.0,20.0,0.0,19.0,2.0,4303.0,131.19,697.0,314.0,109.0,423.0,28.0,7.0,35.0,34.0,3.0,30.0,5.0,1
Lucas Leiva,Lazio,Empoli v Lazio,ITA - Serie A,DM,Midfield,2021/2022,81.13,27.59,26.29,6360,1987-01-09,2021-08-21,Passed,10728.0,132.23,2176.0,534.0,119.0,653.0,44.0,6.0,50.0,79.0,6.0,88.0,14.0,26.2,4059.0,147.12,799.0,123.0,25.0,148.0,7.0,0.0,7.0,27.0,2.0,28.0,2.0,4203.0,159.87,1150.0,361.0,86.0,447.0,32.0,4.0,36.0,28.0,2.0,25.0,6.0,1
Samuele Ricci,Empoli,Empoli v Lazio,ITA - Serie A,DM,Midfield,2021/2022,94.27,32.8,30.5,27570,2001-08-21,2021-08-21,Passed,12517.0,132.78,2006.0,642.0,135.0,777.0,48.0,8.0,56.0,83.0,6.0,82.0,9.0,27.0,4811.0,146.68,829.0,107.0,34.0,141.0,5.0,2.0,7.0,27.0,2.0,30.0,2.0,4991.0,163.64,1073.0,450.0,72.0,522.0,38.0,5.0,43.0,31.0,2.0,25.0,2.0,1
Jean-Daniel Akpa-Akpro,Lazio,Empoli v Lazio,ITA - Serie A,LM,Midfield,2021/2022,45.15,14.42,14.62,4851,1992-10-11,2021-08-21,Passed,5905.0,130.79,1251.0,494.0,109.0,603.0,32.0,6.0,38.0,47.0,3.0,55.0,11.0,28.2,2111.0,146.39,424.0,141.0,28.0,169.0,10.0,2.0,12.0,16.0,1.0,18.0,2.0,2497.0,170.79,741.0,296.0,62.0,358.0,21.0,3.0,24.0,18.0,1.0,15.0,4.0,1
Ardian Ismajli,Empoli,Empoli v Lazio,ITA - Serie A,RCB,Central Defender,2021/2022,94.27,32.8,30.5,16569,1996-09-30,2021-08-21,Passed,9850.0,104.49,1195.0,535.0,136.0,671.0,44.0,8.0,52.0,79.0,10.0,68.0,19.0,30.8,3753.0,114.42,436.0,111.0,22.0,133.0,9.0,1.0,10.0,25.0,2.0,20.0,3.0,3832.0,125.64,598.0,339.0,99.0,438.0,30.0,5.0,35.0,33.0,3.0,25.0,5.0,1
Riccardo Marchizza,Empoli,Empoli v Lazio,ITA - Serie A,LWB,Full Back,2021/2022,94.27,32.8,30.5,19642,1998-03-26,2021-08-21,Passed,11174.0,118.53,1582.0,748.0,170.0,918.0,55.0,11.0,66.0,83.0,8.0,70.0,21.0,28.6,4325.0,131.86,645.0,309.0,56.0,365.0,24.0,4.0,28.0,28.0,2.0,25.0,6.0,4129.0,135.38,775.0,372.0,93.0,465.0,28.0,5.0,33.0,36.0,4.0,24.0,3.0,1
Andrea La Mantia,Empoli,Empoli v Lazio,ITA - Serie A,RF,Forward,2021/2022,12.77,6.5,2.92,19778,1991-05-06,2021-08-21,Passed,1372.0,107.44,189.0,69.0,15.0,84.0,4.0,1.0,5.0,11.0,2.0,13.0,3.0,27.3,730.0,112.31,106.0,39.0,11.0,50.0,3.0,0.0,3.0,3.0,1.0,5.0,1.0,316.0,108.22,82.0,30.0,3.0,33.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1
Luis Alberto,Lazio,Empoli v Lazio,ITA - Serie A,LM,Midfield,2021/2022,49.12,16.08,18.18,6416,1992-09-28,2021-08-21,Passed,6493.0,132.19,1185.0,427.0,100.0,527.0,36.0,6.0,42.0,45.0,5.0,45.0,12.0,27.0,2369.0,147.33,524.0,182.0,55.0,237.0,17.0,3.0,20.0,15.0,1.0,13.0,3.0,2730.0,150.17,543.0,205.0,25.0,230.0,17.0,2.0,19.0,15.0,2.0,18.0,3.0,1
