opta_id,full_name,birth_date,country,soccRole,position,team,games,mins_played,touches,xG,npxG,opxG,opshots,opgoals,goals,xA,opxA,xOVA,xA_received,xT,xT_pass,xT_carry,xT_from_passes_received,xg_blocked,xg_against_team
18383,Samir Handanovic,1984-07-14,Slovenia,GK,Goalkeeper,Internazionale,37,3330,1405.0,,0.0,0.0,0.0,0.0,0.0,0.1819896,0.1724284,0.10181749999999999,0.0713092,1.0772807,1.0126531,0.06462760000000001,-0.5874825,9.086177,39.0597882
18500,Andrea Consigli,1987-01-27,Italy,GK,Goalkeeper,Sassuolo,37,3322,1648.0,,0.0,0.0,0.0,0.0,0.0,0.3593957,0.1333259,0.0785803,0.0563034,0.8969658,0.8005213,0.0964445,-0.6874577,11.1164201,62.300653499999996
19537,Marco Modolo,1989-03-23,Italy,CB,Defender,Venezia,6,390,215.0,0.3105685,0.3105685,0.0,0.0,0.0,0.0,0.028155,0.027707,0.307108,0.0311676,0.06555899999999999,0.0480118,0.0175472,-0.0782421,0.3038499,8.5063491
19620,Miguel Veloso,1986-05-11,Portugal,DMC,Midfielder,Verona,22,1344,1070.0,0.6675934,0.6675934,0.2645900762,9.0,0.0,0.0,1.9348106,0.9911753,1.0643006,0.23372189999999998,1.0215311,0.8735733,0.1479578,-0.2359953,0.10950309999999999,19.6370146
19821,Domenico Criscito,1986-12-30,Italy,FB,Defender,Genoa,20,1622,1275.0,5.7452423,0.2729993,0.1289888379,7.0,0.0,6.0,1.3257299,1.2391657,1.2725751,0.23910769999999998,1.3839455,1.0722142,0.3117313,-0.3476567,0.9550725999999999,28.9182834
20046,Stefano Okaka,1989-08-09,Italy,FW,Forward,Udinese,2,20,9.0,0.0338229,0.0338229,0.0338229425,1.0,0.0,0.0,0.0015251,0.0015251,0.029186200000000002,0.0061844000000000005,0.016906599999999997,0.0025241,0.014382500000000001,0.019579100000000002,0.0,0.1058221
21123,Valon Behrami,1985-04-19,Switzerland,CM,Midfielder,Genoa,10,306,98.0,0.0607987,0.0607987,0.0607987493,1.0,0.0,0.0,0.1424203,0.1422423,0.1507016,0.0518701,0.0821533,0.04572639999999999,0.0364269,0.0313623,0.0353854,8.0738971
21125,Lorenzo De Silvestri,1988-05-23,Italy,FB,Defender,Bologna,31,2298,1649.0,2.2583205,2.2583205,1.0195041280000001,9.0,1.0,3.0,1.953786,1.9122107,2.6235868,1.5486183,2.305091,1.6503475,0.6547435,0.5619283,0.4088159,39.8152247
21155,Salvatore Sirigu,1987-01-12,Italy,GK,Goalkeeper,Genoa,37,3330,1364.0,,0.0,0.0,0.0,0.0,0.0,0.2443124,0.20859350000000002,0.1713364,0.0382547,1.0673443,1.0384104,0.0289339,-0.4595952,15.2601611,60.4949709
26720,Cristian Molinaro,1983-07-30,Italy,FB,Defender,Venezia,8,549,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2834067,0.27589220000000003,0.24793110000000002,0.028621399999999998,0.6193457,0.4809952,0.1383505,-0.1371502,0.0640698,9.7385553
27353,Stefan Radu,1986-10-22,Romania,FB,Defender,Lazio,10,554,389.0,0.0523437,0.0523437,0.0193034224,1.0,0.0,0.0,0.057365200000000005,0.0525396,0.0352965,0.0697889,0.3093975,0.2524624,0.0569351,-0.2011212,0.0953879,9.2162926
28277,Leonardo Bonucci,1987-05-01,Italy,CB,Defender,Juventus,24,2004,1543.0,5.5609278,3.2156808,0.0,0.0,0.0,5.0,0.7570505,0.7292309,2.4150793999999998,1.5383963,2.0986954,1.72539,0.3733054,-0.3400307,0.8333929,26.3760686
28559,Franck Ribéry,1983-04-07,France,WAM,Midfielder,Salernitana,23,1426,980.0,0.8601618,0.8601618,0.7294175941000001,10.0,0.0,0.0,3.2906701,2.8862556,2.4981333,1.1237168,1.6867644,0.5632714999999999,1.1234929,0.9596775,0.0,25.9077217
32281,Diego Godín,1986-02-16,Uruguay,CB,Defender,Cagliari,11,819,565.0,0.3336139,0.3336139,0.1180483251,2.0,0.0,0.0,0.2123358,0.20261069999999998,0.156463,0.38304079999999996,0.4359455,0.3834954,0.0524501,-0.2626013,0.278435,18.1023466
32286,Samuel Di Carmine,1988-09-29,Italy,FW,Forward,Verona,1,35,10.0,0.0528104,0.0528104,0.0,0.0,0.0,0.0,0.001436,0.001436,0.0300852,0.0241712,-0.005144,-0.005144,0.0,0.0802755,0.0,0.8373362
37265,Alexis Sánchez,1988-12-19,Chile,WAM,Forward,Internazionale,27,862,621.0,4.95161,4.95161,4.829106321499999,31.0,5.0,5.0,2.5208738,1.966777,3.7390975,3.1177426,1.4815018,0.7891089,0.6923929,2.1420939999999997,0.0,9.9612107
38476,Federico Peluso,1984-01-20,Italy,FB,Defender,Sassuolo,2,9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004977,0.0004977,0.0004977,0.0,0.004946,0.004946,0.0,0.0,0.0,0.3747814
38530,Nani,1986-11-17,Portugal,WAM,Midfielder,Venezia,10,283,189.0,0.0797658,0.0797658,0.079765752,3.0,0.0,0.0,0.3690447,0.3279645,0.1792512,0.2284791,0.2582956,0.0621515,0.19614410000000002,0.1334749,0.0,5.1600894
38533,Rui Patrício,1988-02-15,Portugal,GK,Goalkeeper,Roma,38,3420,1226.0,,0.0,0.0,0.0,0.0,0.0,0.1170499,0.0838229,0.047396,0.0374757,0.5894803,0.581314,0.0081663,-0.40131,11.189115900000001,43.5589251
38597,Nicola Ravaglia,1988-12-12,Italy,GK,Goalkeeper,Sampdoria,1,4,4.0,,0.0,0.0,0.0,0.0,0.0,0.0007888,0.0007888,0.0006759,0.0001128,0.0,0.0,0.0,-0.0020977,0.0,0.8020972
39167,Andrea Ranocchia,1988-02-16,Italy,CB,Defender,Internazionale,6,338,240.0,0.6823585000000001,0.6823585000000001,0.0,0.0,0.0,0.0,0.041054,0.0403658,0.38640430000000003,0.3363714,0.23883390000000002,0.179096,0.0597379,-0.11288300000000001,0.1974658,3.910127
39570,Fernando Forestieri,1990-01-15,Italy,FW,Forward,Udinese,4,53,37.0,1.1131727,1.1131727,0.2751710713,1.0,0.0,2.0,0.3265817,0.29418099999999997,1.3696888,0.015478700000000001,0.031755900000000004,0.0247261,0.0070298,0.0413882,0.0,0.5306922000000001
39781,Sebastien De Maio,1987-03-05,France,CB,Defender,Udinese,2,180,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030919299999999997,0.030790199999999997,0.027877100000000002,0.002913,0.082342,0.0925864,-0.010244399999999999,-0.0316612,0.4141386,5.3084055
39826,Danilo D'Ambrosio,1988-09-09,Italy,FB,Defender,Internazionale,20,990,892.0,1.6597051,1.6597051,1.2798587093,8.0,1.0,1.0,0.4315833,0.4236669,0.3192871,1.7645077,0.49141499999999994,0.6555638,-0.1641488,0.259428,0.902545,11.2135905
40002,Matteo Darmian,1989-12-02,Italy,FB,Defender,Internazionale,25,1507,838.0,0.8894035,0.8894035,0.8894035695,8.0,2.0,2.0,1.9421693,1.9266996,2.2313668,0.5870538000000001,1.0111303,0.931156,0.0799743,0.4708967,0.027323,18.8690906
40283,Sebastian Giovinco,1987-01-26,Italy,FW,Forward,Sampdoria,2,37,17.0,0.0523953,0.0523953,0.0523952506,1.0,0.0,0.0,0.009552900000000001,0.009552900000000001,0.0148075,0.0471407,0.013913099999999998,0.0047861,0.009127,0.040607199999999996,0.0,0.22544180000000003
40364,Nicolas Viola,1989-10-12,Italy,CM,Midfielder,Bologna,6,99,78.0,0.0255361,0.0255361,0.0255360734,1.0,0.0,0.0,0.054334499999999994,0.0113885,0.0194513,0.0174735,-0.0235886,-0.0271494,0.0035608,-0.013102399999999998,0.0157172,2.8816853
40436,Ivan Radovanovic,1988-08-29,Serbia,DMC,Midfielder,Salernitana,14,1055,625.0,0.8793038,0.8793038,0.1866428415,9.0,0.0,1.0,0.7674461,0.7603419,1.0427221999999998,0.5628647,0.6695463,0.5861486,0.0833977,-0.216059,0.3306975,19.6623739
40670,Vincenzo Fiorillo,1990-01-13,Italy,GK,Goalkeeper,Salernitana,1,90,35.0,,0.0,0.0,0.0,0.0,0.0,0.004306,0.004306,0.0031222,0.0011838,0.033467,0.0337414,-0.0002744,-0.0231548,0.356103,3.2986579
40792,Federico Fazio,1987-03-17,Argentina,CB,Defender,Salernitana,16,1435,852.0,1.2620867,1.2620867,0.0909959115,3.0,0.0,1.0,0.3764915,0.3694179,-0.12003110000000003,1.7515356,0.7615404,0.6994002,0.06214019999999999,0.0773565,0.750972,26.061062800000002
41464,Marko Arnautovic,1989-04-19,Austria,FW,Forward,Bologna,33,2703,1305.0,14.946318400000001,12.6010714,10.8541802243,74.0,11.0,14.0,2.3508342,2.3490286,6.3375475,8.3926714,0.6504689,0.04259849999999997,0.6078704,6.7301593,0.13025789999999998,45.529133900000005
41792,Aaron Ramsey,1990-12-26,Wales,CM,Midfielder,Juventus,3,97,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0437474,0.0436256,-0.0208193,0.0668839,-0.07879230000000001,-0.019038899999999997,-0.0597534,0.0526546,0.0,2.0449134
42173,Felipe Caicedo,1988-09-05,Ecuador,FW,Forward,Internazionale,12,299,129.0,1.2327335000000001,1.2327335000000001,1.1176224017,9.0,1.0,1.0,0.5698564,0.5698564,0.8875798,0.910606,-0.004041399999999994,0.0504175,-0.05445889999999999,0.4823207,0.0,5.6465548000000005
42426,Lorenzo Tonelli,1990-01-17,Italy,CB,Defender,Empoli,14,868,700.0,0.4421871,0.4421871,0.0282209832,1.0,0.0,0.0,0.4553175,0.45028229999999997,0.5386531999999999,0.3429683,1.0499704,0.8718781,0.1780923,-0.1983452,0.3336565,18.4234451
42544,Edin Dzeko,1986-03-17,Bosnia and Herzegovina,FW,Forward,Internazionale,36,2475,1223.0,14.6271539,14.6271539,11.3680254984,69.0,11.0,13.0,3.4209883,3.4207151,7.132687,10.9158574,1.6762553,1.0267709999999999,0.6494843,6.3712143,0.31558410000000003,28.7672567
42565,Arturo Vidal,1987-05-22,Chile,CM,Midfielder,Internazionale,28,713,698.0,1.5957483,1.5957483,1.5013416372,15.0,1.0,1.0,1.8148841999999998,1.8137533,1.4465984,1.9643849,1.0537638,0.8416965,0.21206730000000001,0.6995594,0.185403,6.630635
42593,Aleksandar Kolarov,1985-11-10,Serbia,FB,Defender,Internazionale,3,38,47.0,0.0236283,0.0236283,0.0236282777,1.0,0.0,0.0,0.0136233,0.0136233,0.024560099999999998,0.0130718,0.0670055,0.04990359999999999,0.0171019,-0.0333807,0.0,0.5961947999999999
42899,Sergio Romero,1987-02-22,Argentina,GK,Goalkeeper,Venezia,16,1440,705.0,,0.0,0.0,0.0,0.0,0.0,0.1597795,0.1472707,0.1290806,0.0178982,0.5469356,0.5336631,0.0132725,-0.1793949,7.6825613,33.6670692
43191,Lucas Leiva,1987-01-09,Brazil,DMC,Midfielder,Lazio,35,1697,1453.0,0.1041972,0.1041972,0.1041972357,3.0,0.0,0.0,0.7091812,0.6077594000000001,0.5138102,0.198893,0.8956747,0.8711494000000001,0.024525300000000003,-0.1657549,0.4320439,25.7847998
43693,Martín Cáceres,1987-04-07,Uruguay,CB,Defender,Cagliari,14,832,554.0,0.4120405,0.4120405,0.0380337201,2.0,0.0,1.0,0.7744470999999999,0.7329433999999999,0.990498,0.1514591,0.8655252999999999,0.7872766999999999,0.0782486,-0.20075110000000002,0.0496005,14.7643004
44346,Olivier Giroud,1986-09-30,France,FW,Forward,Milan,29,1902,741.0,10.1596838,8.5961858,5.6783441882000005,39.0,6.0,11.0,1.8446551,1.8445019,2.2296087,8.0605408,-0.6872281,-0.3887247,-0.29850340000000003,5.5299666,0.1621839,16.3193623
44898,Ciprian Tatarusanu,1986-02-09,Romania,GK,Goalkeeper,Milan,6,540,230.0,,0.0,0.0,0.0,0.0,0.0,0.0291294,0.025766200000000003,0.0167143,0.0089633,0.19441429999999998,0.1769382,0.0174761,-0.0960009,1.7161026000000001,7.8148693
45034,Ivan Perisic,1989-02-02,Croatia,WAM,Midfielder,Internazionale,35,2842,1881.0,4.4003187,3.6185697,2.7840340928000002,27.0,3.0,8.0,6.5919512000000005,6.4918158,7.5138962,2.6073624,3.0002002,2.0559135,0.9442867,1.6077817,0.2962208,31.4273083
45156,Antonio Candreva,1987-02-28,Italy,WAM,Midfielder,Sampdoria,36,3131,2384.0,6.0052318,4.4417338,3.9698620645,59.0,6.0,7.0,8.5679158,6.6902924,7.9305554,3.0102948,4.6339072,3.4989704,1.1349368,1.7212861,0.0503063,50.6774035
46483,Adrien Silva,1989-03-15,Portugal,CM,Midfielder,Sampdoria,17,1086,789.0,0.2778967,0.2778967,0.2281539244,6.0,0.0,0.0,0.568837,0.5457003,0.4833394,0.33435780000000004,0.40751790000000004,0.29612879999999997,0.1113891,0.1473514,0.2530873,16.6787279
48714,Simon Kjaer,1989-03-26,Denmark,CB,Defender,Milan,11,806,574.0,0.31621180000000004,0.31621180000000004,0.0,0.0,0.0,0.0,0.6095007,0.6075216,0.25611110000000004,0.6776529,0.6499208,0.5968169999999999,0.0531038,-0.2062485,0.6449741999999999,11.8675264
48844,David Ospina,1988-08-31,Colombia,GK,Goalkeeper,Napoli,31,2790,1117.0,,0.0,0.0,0.0,0.0,0.0,0.1343604,0.1243513,0.0868193,0.0389715,0.8354362,0.7776659,0.057770300000000004,-0.5032697,7.6967859,27.362846
48853,Gary Medel,1987-08-03,Chile,DMC,Midfielder,Bologna,33,2830,2011.0,0.2984939,0.2984939,0.2984938733,2.0,0.0,0.0,0.9430082,0.8351529,0.9761465,0.1554577,1.8402781,1.6410471,0.199231,-0.7668281,1.2218439,48.0392554
48860,Niki Mäenpää,1985-01-23,Finland,GK,Goalkeeper,Venezia,17,1485,613.0,,0.0,0.0,0.0,0.0,0.0,0.3838901,0.3495086,0.3349533,0.0149834,0.4921458,0.4821408,0.010005,-0.1612345,7.7239971999999995,34.048863
49203,Milan Djuric,1990-05-22,Bosnia and Herzegovina,FW,Forward,Salernitana,33,2173,940.0,5.7899022,5.0081532,3.2634833137,31.0,2.0,5.0,3.4561296,3.4559357,2.2619487,6.2007629,0.429332,0.6498646,-0.22053259999999997,3.8221728,0.0693931,40.5844581
49391,Marco Faraoni,1991-10-25,Italy,FB,Defender,Verona,32,2580,1792.0,2.7190545000000004,2.7190545000000004,2.3458387126,21.0,4.0,4.0,2.3294945,2.2989413,2.7279476,2.2946821,2.0219707,1.8912196,0.1307511,0.9831173,0.3626532,38.3438978
49417,Giacomo Bonaventura,1989-08-22,Italy,WAM,Midfielder,Fiorentina,31,2278,1518.0,6.3312482,6.3312482,5.9588608553,36.0,4.0,4.0,2.2420595,2.194527,4.8183898,3.6497829,1.3891515,0.5290106,0.8601409,1.5737167,0.0700943,27.1265161
49579,Pedro,1987-07-28,Spain,WAM,Forward,Lazio,32,2042,1268.0,3.6442885,3.6442885,3.3794032289000002,33.0,8.0,9.0,3.1340335,3.1327968,4.7736144,2.0152189,2.2678672,1.0466605,1.2212067,2.2425989,0.061675499999999994,34.5196348
49887,Kevin Strootman,1990-02-13,Netherlands,CM,Midfielder,Cagliari,10,644,446.0,0.0181942,0.0181942,0.0,0.0,0.0,0.0,0.1992018,0.1848735,0.0540579,0.1506768,0.2856041,0.2541835,0.0314206,-0.049969,0.054363800000000004,11.7306279
50401,Nikola Kalinic,1988-01-05,Croatia,FW,Forward,Verona,14,399,187.0,3.0495753,3.0495753,3.0495752991,13.0,4.0,4.0,0.5439559,0.5437383,0.6574015000000001,2.9318288999999997,0.0481028,-0.10499369999999998,0.1530965,1.7687597,0.0,6.8470131
50779,Albin Ekdal,1989-07-28,Sweden,CM,Midfielder,Sampdoria,26,1640,1011.0,0.6139431,0.6139431,0.32477638870000003,6.0,0.0,1.0,0.4923881,0.4862976,0.4288007,0.6727974,0.5249445,0.35996859999999997,0.16497589999999998,-0.0712216,0.2455329,25.5381029
50821,Francesco Caputo,1987-08-06,Italy,FW,Forward,Sampdoria,38,2956,905.0,11.2741077,10.4923587,9.5102252252,50.0,9.0,11.0,3.8219023,3.8218518,6.9666034,7.3515763,0.7593567,-0.4885566,1.2479133,5.5900970999999995,0.0,52.2639424
50933,Tomás Rincón,1988-01-13,Venezuela,DMC,Midfielder,Sampdoria,24,1329,851.0,0.1554447,0.1554447,0.1554447785,2.0,0.0,0.0,0.3197106,0.3141778,0.2221418,0.2484925,0.3353085,0.3614345,-0.02612600000000002,0.1296341,0.1153395,22.1060126
50937,Cristian Ansaldi,1986-09-20,Argentina,FB,Defender,Torino,19,677,520.0,0.2188757,0.2188757,0.2188757408,7.0,0.0,0.0,2.3180814,2.080161,2.0923106000000002,0.2050519,0.7230635,0.4994516,0.2236119,-0.0437439,0.0886085,10.0256808
51732,José Callejón,1987-02-11,Spain,WAM,Forward,Fiorentina,30,1300,737.0,1.607141,1.607141,1.4375798871,13.0,1.0,1.0,3.422044,3.0213824,2.9687026,1.5820762000000002,1.1284888,0.9491317,0.1793571,0.8879997,0.0,19.6326431
53693,Alex Sandro,1991-01-26,Brazil,FB,Defender,Juventus,28,1773,1361.0,0.7021585,0.7021585,0.39870791139999995,4.0,0.0,0.0,1.4148733,1.3930957,1.0169151,1.0780497,1.3779403000000001,1.0020733,0.375867,0.0784263,0.3120637,20.4832349
54917,Dries Mertens,1987-05-06,Belgium,FW,Forward,Napoli,30,1386,731.0,5.1459643,4.3642153,3.9657281901,36.0,10.0,11.0,2.5564743,2.5081869,3.8555417999999997,2.7319633,1.7281554000000001,0.8990701,0.8290853,2.3201233,0.0903548,13.6144125
55083,Marco Sportiello,1992-05-10,Italy,GK,Goalkeeper,Atalanta,5,450,158.0,,0.0,0.0,0.0,0.0,0.0,0.0087279,0.0083819,0.0045782,0.0038313,0.039627800000000005,0.040596400000000005,-0.0009686000000000002,-0.0419144,1.9070804,5.9727564
55340,Diego Perotti,1988-07-26,Argentina,WAM,Midfielder,Salernitana,11,277,221.0,1.5178785000000001,0.7361295000000001,0.6044592055,7.0,0.0,0.0,0.5026784,0.487222,0.8441419,0.3004758,0.1596313,-0.0746366,0.23426790000000003,0.2057839,0.0,5.7445753
55654,Diego Farias,1990-05-10,Brazil,FW,Forward,Cagliari,4,62,39.0,0.0357027,0.0357027,0.0357027166,1.0,0.0,0.0,0.0076189000000000005,0.0075463,0.015160599999999998,0.0281787,-0.0360418,-0.0469515,0.0109097,0.0532267,0.0,1.1357586
55712,Josip Ilicic,1988-01-29,Slovenia,WAM,Midfielder,Atalanta,20,836,692.0,2.8806207,2.0988717,1.9709750954,28.0,3.0,3.0,3.0782969,2.4571744,2.6085595,1.8752583,2.0086137,1.193676,0.8149377,1.2463705999999999,0.0437356,9.8983799
55909,Chris Smalling,1989-11-22,England,CB,Defender,Roma,27,2087,1300.0,2.0612683,2.0612683,0.062563695,1.0,0.0,3.0,0.406465,0.40369089999999996,0.7628476000000001,1.7024991999999999,0.7701785,0.6767221,0.0934564,-0.3508113,1.8763972,25.000139100000002
56247,Francesco Di Tacchio,1990-04-20,Italy,CM,Midfielder,Salernitana,18,1256,726.0,0.3099362,0.3099362,0.1902148527,10.0,0.0,0.0,0.3636079,0.3083436,0.2578504,0.3302016,0.03246200000000002,0.520772,-0.48830999999999997,-0.3068358,0.39018759999999997,28.8112493
56486,Marco Silvestri,1991-03-02,Italy,GK,Goalkeeper,Udinese,35,3150,1085.0,,0.0,0.0,0.0,0.0,0.0,0.1553787,0.1320797,0.10392499999999999,0.0297944,0.8312681,0.8005909999999999,0.0306771,-0.3935454,10.5775827,48.2272604
56733,Mato Jajalo,1988-05-25,Bosnia and Herzegovina,CM,Midfielder,Udinese,22,618,417.0,0.2988728,0.2988728,0.2988728471,5.0,0.0,0.0,0.684899,0.6833726999999999,0.5646032999999999,0.4172423,0.4026558,0.3598619,0.042793899999999996,0.0969511,0.0,6.6507269
56999,Milan Badelj,1989-02-25,Croatia,DMC,Midfielder,Genoa,34,2850,2036.0,0.9519829,0.9519829,0.8247414752000001,15.0,1.0,1.0,2.2884635,2.2770706,2.2565748,0.9786691,2.1676173,2.1955062,-0.02788890000000001,0.03369610000000001,0.23098629999999998,48.2410396
57012,Darko Lazovic,1990-09-15,Serbia,WAM,Midfielder,Verona,34,2780,1880.0,3.1267949,3.1267949,2.8231431283,35.0,1.0,1.0,4.9370869,4.8710252,6.6556595,1.2684469999999999,5.3442188999999996,3.7450161,1.5992028,1.3833842,0.5160583999999999,43.9545571
57038,Aleksandr Kokorin,1991-03-19,Russia,FW,Forward,Fiorentina,6,50,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011943100000000002,0.011943100000000002,-0.022158,0.0341553,-0.023608499999999998,-0.021288,-0.0023204999999999996,0.0832763,0.0,0.6472483
57107,Riccardo Saponara,1991-12-21,Italy,CAM,Midfielder,Fiorentina,29,1286,776.0,2.3975804,2.3975804,2.1994263744,33.0,3.0,3.0,2.7419006,2.7368543,3.4181434,1.7148222,2.1804203,0.8172005,1.3632198,1.6823932,0.0,11.793750900000001
57249,Henrikh Mkhitaryan,1989-01-21,Armenia,CAM,Midfielder,Roma,31,2500,1612.0,4.1904803,4.1904803,3.9660563627,47.0,5.0,5.0,4.1543894,4.1434701,6.0767645,2.2544119,2.7768379,1.9129944,0.8638435,1.9678997,0.0626125,29.8509652
58928,Stephan El Shaarawy,1992-10-27,Italy,WAM,Forward,Roma,27,1046,774.0,2.7884041,2.7884041,2.608050608,32.0,3.0,3.0,2.5860031,2.581538,3.9025059,1.3850845999999999,1.5712087,1.3990828,0.17212589999999997,0.9251901,0.08732999999999999,12.3861747
59046,Ciro Immobile,1990-02-20,Italy,FW,Forward,Lazio,31,2716,1300.0,22.2525393,15.2167983,13.9636766747,93.0,18.0,27.0,3.0179326,3.0174735,7.3715028,10.8665616,1.5193008000000001,-0.16692200000000001,1.6862228,7.4103097,0.0563865,38.7158976
59108,Jeroen Zoet,1991-01-06,Netherlands,GK,Goalkeeper,Spezia,7,630,273.0,,0.0,0.0,0.0,0.0,0.0,0.0226023,0.0214704,0.0135558,0.0090897,0.11664089999999999,0.116479,0.0001619000000000002,-0.13367679999999998,2.9505512,12.8784878
59326,Luigi Sepe,1991-05-08,Italy,GK,Goalkeeper,Salernitana,16,1394,647.0,,0.0,0.0,0.0,0.0,0.0,0.2079966,0.1585872,0.14037650000000002,0.0182108,0.9248508999999999,0.9062329,0.018618,-0.2958245,5.6302588,24.2372401
59338,Carlo Pinsoglio,1990-03-16,Italy,GK,Goalkeeper,Juventus,1,45,12.0,,0.0,0.0,0.0,0.0,0.0,0.0009483,0.0009483,0.0003125,0.0006358,0.0142079,0.0130529,0.001155,-0.002766,0.2465778,0.5510139
59920,Roberto Soriano,1991-02-08,Italy,CM,Midfielder,Bologna,35,2637,1660.0,2.2121245,2.2121245,1.7931738755,21.0,0.0,0.0,3.633665,3.6273924,4.1749242,1.6776004,2.5416084,2.0164204,0.525188,1.8153308,0.0773597,39.6710516
59936,Wojciech Szczesny,1990-04-18,Poland,GK,Goalkeeper,Juventus,33,2970,1145.0,,0.0,0.0,0.0,0.0,0.0,0.1265274,0.0977557,0.0587674,0.0400937,0.6303751,0.5985698,0.0318053,-0.420208,8.4106502,34.6336438
60066,Vid Belec,1990-06-06,Slovenia,GK,Goalkeeper,Salernitana,23,1936,700.0,,0.0,0.0,0.0,0.0,0.0,0.2059282,0.174573,0.1640636,0.0131791,0.6020558,0.5922374,0.0098184,-0.18164740000000001,10.0279011,42.9994045
60068,Joel Obi,1991-05-22,Nigeria,CM,Midfielder,Salernitana,21,1146,535.0,1.3038441,1.3038441,1.084511131,7.0,0.0,0.0,1.0823809,0.856384,0.9624542,1.2014835000000001,0.4914541,0.1453684,0.3460857,0.7216980000000001,0.2606161,24.6482432
60071,Mattia Destro,1991-03-20,Italy,FW,Forward,Genoa,27,1753,635.0,7.6784571,7.6784571,6.7723555302000005,43.0,7.0,9.0,0.4603556,0.4603032,2.4124029,5.7280880000000005,0.3887835,-0.052866699999999996,0.4416502,3.4915408,0.0312427,33.7428698
60270,Simone Zaza,1991-06-25,Italy,FW,Forward,Torino,10,118,83.0,1.0256555,1.0256555,0.9624159149,7.0,0.0,0.0,0.0867376,0.0867376,0.15276100000000004,0.9597673999999999,0.09022580000000001,-0.08781439999999999,0.17804019999999998,0.1552189,0.0,1.2104698
60849,Luca Ceppitelli,1989-08-11,Italy,CB,Defender,Cagliari,24,1445,980.0,0.3426011,0.3426011,0.0366820879,1.0,0.0,1.0,0.295058,0.2890202,0.0679633,0.563325,0.5996481,0.4800197,0.1196284,-0.2480076,0.8234542,26.3632221
