,opta_id,game_id,team_id,opp_team_id,home_away,match_day,full_name,birth_date,country,soccRole,team,opponent_team,mins_played,touches,xG,npxG,opxG,goals,npgoals,opgoals,shots,npshots,opshots,xGoT,xA,opxA,xOVA,xT,xT_from_passes,xT_from_carries,xT_from_passes_received,xg_blocked,xg_against_team
10,41464,2228904,123,1025.0,h,1,Marko Arnautovic,1989-04-19,Austria,FW,Bologna,Salernitana,86,38.0,0.5884872,0.5884872,0.5884872,1.0,0.0,1.0,5.0,5.0,5.0,1.0257442,0.1940342,0.1939617,0.2457907,0.021701,-0.0532653,0.0749663,0.3903866,0.0,1.5728133
11,81033,2228904,123,1025.0,h,1,Nicola Sansone,1991-09-10,Italy,CAM,Bologna,Salernitana,34,32.0,0.0908235,0.0908235,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1072726,0.0345238,0.0061861,0.00512,-0.0219375,0.0270575,0.0567924,0.0,0.4487903
12,210912,2228904,123,1025.0,h,1,Mattias Svanberg,1999-01-05,Sweden,CM,Bologna,Salernitana,4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008012,0.0008012,0.0001066,0.001164,0.0032963,-0.0021323,-0.0024048,0.0,0.0
13,244290,2228904,123,1025.0,h,1,Emanuel Vignato,2000-08-24,Italy,FB,Bologna,Salernitana,34,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3047531,0.3045365,0.2613072,0.1646293,0.101478,0.0631513,0.0511144,0.0,0.4487903
14,459655,2228904,123,1025.0,h,1,Sydney van Hooijdonk,2000-02-06,Netherlands,CM,Bologna,Salernitana,4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068206,0.0068206,0.0018696,0.0007589,0.0007589,0.0,0.0053391,0.0,0.0
15,430368,2228904,123,1025.0,h,1,Andreas Skov Olsen,1999-12-29,Denmark,FB,Bologna,Salernitana,5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006831,0.0006831,1.11e-05,-0.001286,-0.0022616,0.0009756,0.0103083,0.0,0.0
16,60066,2228904,1025,123.0,a,1,Vid Belec,1990-06-06,Slovenia,GK,Salernitana,Bologna,90,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018652,0.0018652,0.001858,0.0084334,0.0087212,-0.0002878,-0.0035209,0.2232748,1.8256718
17,61966,2228904,1025,123.0,a,1,Stefan Strandberg,1990-07-25,Norway,CB,Salernitana,Bologna,34,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029623,0.0029623,0.0027398,0.0224237,0.023373,-0.0009493,-0.0044769,0.0515094,0.1738131
18,108732,2228904,1025,123.0,a,1,Norbert Gyömbér,1992-07-03,Slovakia,CB,Salernitana,Bologna,90,37.0,0.0322181,0.0322181,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.021654,0.000693,0.007836,-0.0063076,-0.0070498,0.0007422,-0.0056122,0.0126019,1.8256718
19,169420,2228904,1025,123.0,a,1,Pawel Jaroszynski,1994-10-02,Poland,FB,Salernitana,Bologna,82,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024511,0.0170832,0.0157553,0.074966,0.0739661,0.0009999,-0.0270698,0.0,1.8256718
20,230113,2228904,1025,123.0,a,1,Wajdi Kechrida,1995-11-05,Tunisia,FB,Salernitana,Bologna,75,29.0,0.0414999,0.0414999,0.0414999,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1308716,0.105946,0.0990574,0.0496044,0.0445669,0.0050375,-0.0083942,0.0,1.3880363
21,249710,2228904,1025,123.0,a,1,Mamadou Coulibaly,1999-02-03,Senegal,CM,Salernitana,Bologna,90,39.0,0.4487903,0.4487903,0.4487903,1.0,0.0,1.0,2.0,2.0,2.0,0.9586948,0.047952,0.047952,0.4648608,0.2789136,-0.0068292,0.2857428,0.0885586,0.0,1.8256718
22,122008,2228904,1025,123.0,a,1,Leonardo Capezzi,1995-03-28,Italy,CM,Salernitana,Bologna,83,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054947,0.0054947,0.0024842,0.0042475,0.0109757,-0.0067282,0.0162393,0.2645462,1.8256718
23,215047,2228904,1025,123.0,a,1,Lassana Coulibaly,1996-04-10,Mali,CM,Salernitana,Bologna,76,27.0,0.0232029,0.0232029,0.0232029,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0085651,0.0085651,0.0314654,0.0116941,0.0131176,-0.0014235,-0.0097525,0.1024725,1.8256718
24,487992,2228904,1025,123.0,a,1,Matteo Ruggeri,2002-07-11,Italy,FB,Salernitana,Bologna,90,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073733,0.0023427,-0.0044642,0.0075423,-0.0039079,0.0114502,0.0001294,0.0,1.8256718
25,161932,2228904,1025,123.0,a,1,Federico Bonazzoli,1997-05-21,Italy,FW,Salernitana,Bologna,90,27.0,0.9619441,0.1801951,0.0697697,1.0,0.0,0.0,4.0,3.0,2.0,0.8511672,0.019682,0.019682,0.0703436,0.0249802,0.0215528,0.0034274,0.0926469,0.0,1.8256718
26,49203,2228904,1025,123.0,a,1,Milan Djuric,1990-05-22,Bosnia and Herzegovina,FW,Salernitana,Bologna,64,25.0,0.0651579,0.0651579,0.0651579,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0002311,0.0002311,-0.0505238,-0.0169531,-0.0092618,-0.0076913,0.0025822,0.0,0.9410779
27,60068,2228904,1025,123.0,a,1,Joel Obi,1991-05-22,Nigeria,CM,Salernitana,Bologna,7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.71e-05,7.71e-05,1.51e-05,-0.0065421,-0.0065421,0.0,0.0003214,0.0,0.0
28,164633,2228904,1025,123.0,a,1,Simy,1992-05-07,Nigeria,FW,Salernitana,Bologna,26,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35e-05,5.35e-05,-0.0112617,0.0004719,0.0004719,0.0,0.0090912,0.0,0.8845939
29,220002,2228904,1025,123.0,a,1,Luka Bogdan,1996-03-26,Croatia,CB,Salernitana,Bologna,14,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010206,0.0002043,-0.0032621,0.0063326,0.0030663,0.0032663,-0.0034531,0.0,0.4376355
30,141561,2228904,1025,123.0,a,1,Andrea Schiavone,1993-02-25,Italy,CM,Salernitana,Bologna,8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039989,7.47e-05,8.14e-05,-0.0013231,-0.0013231,0.0,0.0,0.0,0.0
31,489209,2228904,1025,123.0,a,1,Nadir Zortea,1999-06-19,Italy,FB,Salernitana,Bologna,15,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001656,0.0001656,-2.14e-05,-0.0051888,-0.0051888,0.0,-0.0005013,0.0,0.4376355
32,105133,2228905,124,2036.0,h,1,Alessio Cragno,1994-06-28,Italy,GK,Cagliari,Spezia,90,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141477,0.0138197,0.0120006,0.0711421,0.0671439,0.0039982,-0.0277357,0.0898327,0.9049144
33,32281,2228905,124,2036.0,h,1,Diego Godín,1986-02-16,Uruguay,CB,Cagliari,Spezia,74,70.0,0.0778245,0.0778245,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0357353,0.0355081,0.1092785,0.1162086,0.1064285,0.0097801,-0.0450695,0.0,0.7884371
34,501395,2228905,124,2036.0,h,1,Andrea Carboni,2001-02-04,Italy,CB,Cagliari,Spezia,85,60.0,0.0769912,0.0769912,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0152369,0.015183,0.0102319,0.072499,0.0335509,0.0389481,-0.0233706,0.0,0.8010362
35,429187,2228905,124,2036.0,h,1,Sebastian Walukiewicz,2000-04-05,Poland,CB,Cagliari,Spezia,63,43.0,0.4548985,0.4548985,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0038474,0.0037912,0.4550018,0.0090757,-0.0001947,0.0092704,-0.0250228,0.0,0.728269
36,163632,2228905,124,2036.0,h,1,Razvan Marin,1996-05-23,Romania,CM,Cagliari,Spezia,90,71.0,0.0211711,0.0211711,0.0211711,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5423108,0.1283919,0.0971003,0.0873607,0.0752952,0.0120655,0.067108,0.0,0.9049144
37,192351,2228905,124,2036.0,h,1,Nahitan Nández,1995-12-28,Uruguay,CM,Cagliari,Spezia,90,60.0,0.0550938,0.0550938,0.0550938,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0742648,0.0734068,0.120942,0.161138,0.1282072,0.0329308,0.0638575,0.0,0.9049144
38,212752,2228905,124,2036.0,h,1,Dalbert,1993-09-08,Brazil,FB,Cagliari,Spezia,90,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1189378,0.1113555,0.1047221,0.0607802,0.0453279,0.0154523,-0.0031733,0.0,0.9049144
39,49887,2228905,124,2036.0,h,1,Kevin Strootman,1990-02-13,Netherlands,CM,Cagliari,Spezia,90,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0587999,0.0584981,0.0398384,0.122741,0.1059078,0.0168332,-0.0174089,0.0,0.9049144
40,67977,2228905,124,2036.0,h,1,Leonardo Pavoletti,1988-11-26,Italy,FW,Cagliari,Spezia,84,36.0,0.6268521,0.6268521,0.6268521,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0435374,0.0435374,0.5243743,-0.0802827,-0.070183,-0.0100997,0.2542276,0.0442648,0.8010362
41,162330,2228905,124,2036.0,h,1,Alessandro Deiola,1995-08-01,Italy,CM,Cagliari,Spezia,63,28.0,0.0487688,0.0487688,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0084713,0.0084194,-0.0595431,-0.0509362,-0.040969,-0.0099672,0.0547208,0.0,0.728269
42,88340,2228905,124,2036.0,h,1,João Pedro,1992-03-09,Italy,FW,Cagliari,Spezia,90,44.0,1.8762443,1.0944953,0.6494155,2.0,1.0,1.0,9.0,8.0,6.0,2.6827927,0.0075072,0.0075072,0.6585561,0.0241278,-0.0298967,0.0540245,0.1295774,0.0,0.9049144
43,235584,2228905,124,2036.0,h,1,Gabriele Zappa,1999-12-22,Italy,FB,Cagliari,Spezia,27,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023886,0.0023367,0.0018967,0.0044468,0.0027709,0.0016759,-0.0034415,0.0125992,0.0861819
44,111515,2228905,124,2036.0,h,1,Charalampos Lykogiannis,1993-10-22,Greece,FB,Cagliari,Spezia,5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004361,0.0004361,0.0003207,0.0032809,0.0032809,0.0,-0.0001839,0.0,0.0134147
45,60849,2228905,124,2036.0,h,1,Luca Ceppitelli,1989-08-11,Italy,CB,Cagliari,Spezia,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256903,0.0256398,0.0233132,0.0241174,0.026255,-0.0021376,-0.0152349,0.0134147,0.0717516
46,166016,2228905,124,2036.0,h,1,Giovanni Simeone,1995-07-05,Argentina,FW,Cagliari,Spezia,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002068,0.0002068,-0.0041828,-0.0005155,-0.0003114,-0.0002041,0.0152043,0.0,0.0134147
47,153603,2228905,124,2036.0,h,1,Gastón Pereiro,1995-06-11,Uruguay,FW,Cagliari,Spezia,27,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981691,0.0981691,0.0950103,0.0188202,0.0054932,0.013327,0.0032064,0.0,0.0861819
48,59108,2228905,2036,124.0,a,1,Jeroen Zoet,1991-01-06,Netherlands,GK,Spezia,Cagliari,90,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057167,0.0051664,0.004398,0.0220584,0.0212743,0.0007841,-0.0179882,0.9775406,3.2378442
49,228276,2228905,2036,124.0,a,1,Petko Hristov,1999-03-01,Bulgaria,CB,Spezia,Cagliari,90,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0230559,0.0229469,0.0191199,0.0482322,0.0450392,0.003193,-0.0046236,0.2471112,3.2378442
50,214286,2228905,2036,124.0,a,1,Dimitrios Nikolaou,1998-08-13,Greece,CB,Spezia,Cagliari,90,56.0,0.0125992,0.0125992,0.0125992,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0093864,0.0082376,0.0155965,0.0460309,0.0377957,0.0082352,-0.0072413,0.0,3.2378442
51,204631,2228905,2036,124.0,a,1,Martin Erlic,1998-01-24,Croatia,CB,Spezia,Cagliari,90,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098001,0.0092876,0.0073787,0.0386335,0.0364877,0.0021458,-0.0209094,0.0550938,3.2378442
52,467208,2228905,2036,124.0,a,1,Salvador Ferrer,1998-01-21,Spain,FB,Spezia,Cagliari,85,46.0,0.0144303,0.0144303,0.0144303,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0071691,0.0068306,0.0186241,0.0497569,0.0460172,0.0037397,-0.0248091,0.1740336,3.2378442
53,217596,2228905,2036,124.0,a,1,Kelvin Amian,1998-02-08,France,FB,Spezia,Cagliari,90,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6301378,0.6296175,0.5832313,0.2660512,0.2619259,0.0041253,-0.0087953,0.0,3.2378442
54,179329,2228905,2036,124.0,a,1,Simone Bastoni,1996-11-05,Italy,FB,Spezia,Cagliari,90,40.0,0.5934927,0.5934927,0.5492279,1.0,0.0,1.0,2.0,2.0,1.0,0.731097,0.0274429,0.027263,-0.028549,0.0215264,0.0155834,0.005943,0.356176,0.0,3.2378442
55,233558,2228905,2036,124.0,a,1,Giulio Maggiore,1998-03-12,Italy,CM,Spezia,Cagliari,90,57.0,0.0633692,0.0633692,0.0633692,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0865929,0.0865929,0.1205252,0.1058445,0.0822609,0.0235836,0.0470803,0.0,3.2378442
56,159043,2228905,2036,124.0,a,1,Emmanuel Gyasi,1994-01-11,Ghana,WAM,Spezia,Cagliari,90,50.0,0.0285955,0.0285955,0.0285955,1.0,0.0,1.0,1.0,1.0,1.0,0.2640714,0.0265329,0.0265329,-0.0363195,-0.0230972,-0.0529197,0.0298225,0.1566464,0.0,3.2378442
57,153867,2228905,2036,124.0,a,1,Daniele Verde,1996-06-20,Italy,WAM,Spezia,Cagliari,69,26.0,0.1061808,0.1061808,0.0784287,0.0,0.0,0.0,3.0,3.0,2.0,0.0233149,0.0793575,0.0792377,0.1171121,0.1137686,0.1033374,0.0104312,0.0298019,0.0,2.5370372
58,470501,2228905,2036,124.0,a,1,Ebrima Colley,2000-02-01,Gambia,WAM,Spezia,Cagliari,90,49.0,0.072832,0.072832,0.072832,0.0,0.0,0.0,2.0,2.0,2.0,0.0286316,0.0117674,0.0113665,0.0460722,0.030368,0.0091001,0.0212679,0.0352012,0.0,3.2378442
59,200837,2228905,2036,124.0,a,1,Samuel Mráz,1997-05-13,Slovakia,FW,Spezia,Cagliari,21,9.0,0.0134147,0.0134147,0.0134147,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0278925,0.0278925,0.0123105,0.0063487,0.0113928,-0.0050441,0.0498785,0.0,0.728112
60,215421,2228905,2036,124.0,a,1,Luca Vignali,1996-01-11,Italy,FB,Spezia,Cagliari,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077037,0.0077037,0.0068485,0.0060609,0.0084078,-0.0023469,0.0006181,0.0,0.0
61,184254,2228906,695,129.0,h,1,Guglielmo Vicario,1996-10-07,Italy,GK,Empoli,Lazio,90,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019256,0.0018707,0.0002268,0.007938,0.0061782,0.0017598,-0.014392,0.093306,1.5485737
62,82334,2228906,695,129.0,h,1,Simone Romagnoli,1990-02-09,Italy,CB,Empoli,Lazio,90,75.0,0.036239,0.036239,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0092401,0.0091643,-0.0057621,0.0502667,0.035164,0.0151027,-0.0393587,0.0,1.5485737
63,153814,2228906,695,129.0,h,1,Petar Stojanovic,1995-10-07,Slovenia,FB,Empoli,Lazio,82,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2883929,0.2865842,0.276353,0.1089208,0.0845331,0.0243877,0.0327127,0.0,1.5485737
64,201333,2228906,695,129.0,h,1,Riccardo Marchizza,1998-03-26,Italy,FB,Empoli,Lazio,90,70.0,0.0720965,0.0720965,0.0720965,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0631734,0.0608879,0.1148427,-0.0292565,0.0642439,-0.0935004,0.0250972,0.0,1.5485737
65,229912,2228906,695,129.0,h,1,Ardian Ismajli,1996-09-30,Albania,CB,Empoli,Lazio,90,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114338,0.0113655,-0.1645112,0.0579532,0.0463093,0.0116439,0.0943093,0.0246859,1.5485737
66,216250,2228906,695,129.0,h,1,Filippo Bandinelli,1995-03-29,Italy,CM,Empoli,Lazio,70,44.0,0.2049308,0.2049308,0.2049308,1.0,0.0,1.0,4.0,4.0,4.0,0.4518335,0.0130944,0.0109048,0.1036828,0.0790678,0.0252864,0.0537814,0.0005023,0.0,1.3970538
67,204674,2228906,695,129.0,h,1,Nedim Bajrami,1999-02-28,Albania,CAM,Empoli,Lazio,90,57.0,0.1547763,0.1547763,0.1280516,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.2768364,0.2315291,0.3581638,0.1734987,0.1108683,0.0626304,0.0596567,0.0,1.5485737
68,194783,2228906,695,129.0,h,1,Nicolas Haas,1996-01-23,Switzerland,CM,Empoli,Lazio,76,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149095,0.0148179,0.0051185,0.0366297,0.0216663,0.0149634,0.0043994,0.0,1.4552677
69,450023,2228906,695,129.0,h,1,Samuele Ricci,2001-08-21,Italy,CM,Empoli,Lazio,90,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0361317,0.0360494,0.0203929,0.0665701,0.0463158,0.0202543,-0.0211621,0.0,1.5485737
70,153758,2228906,695,129.0,h,1,Leonardo Mancuso,1992-05-26,Italy,FW,Empoli,Lazio,82,20.0,0.3965652,0.3965652,0.3552365,0.0,0.0,0.0,2.0,2.0,1.0,0.247779,0.2020372,0.2019291,0.260727,0.0239455,0.0265848,-0.0026393,0.1346964,0.0,1.5485737
71,209353,2228906,695,129.0,h,1,Patrick Cutrone,1998-01-03,Italy,FW,Empoli,Lazio,76,17.0,0.0615765,0.0615765,0.0615765,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0369221,0.0369221,0.0739841,0.001223,-0.0020716,0.0032946,0.0933173,0.0,1.4552677
72,109623,2228906,695,129.0,h,1,Riccardo Fiamozzi,1993-05-18,Italy,FB,Empoli,Lazio,8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1499093,0.1496853,0.1399678,0.1346614,0.1184804,0.016181,0.0396068,0.0,0.0
73,168225,2228906,695,129.0,h,1,Liam Henderson,1996-04-25,Scotland,CAM,Empoli,Lazio,20,15.0,0.076148,0.076148,0.076148,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0381969,0.0362418,0.1008891,0.0128594,0.0135852,-0.0007258,0.0224863,0.0,0.1515198
74,220091,2228906,695,129.0,h,1,Giovanni Crociata,1997-08-11,Italy,FW,Empoli,Lazio,14,12.0,0.1071801,0.1071801,0.1071801,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0649198,0.0649198,0.0263083,0.0705593,0.0545379,0.0160214,0.1166864,0.0,0.093306
75,79847,2228906,695,129.0,h,1,Andrea La Mantia,1991-05-06,Italy,FW,Empoli,Lazio,8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032949,0.0032949,-0.0649847,0.0136691,0.0136691,0.0,0.0693037,0.0,0.0
76,427148,2228906,695,129.0,h,1,Szymon Zurkowski,1997-09-25,Poland,CM,Empoli,Lazio,14,19.0,0.0268046,0.0268046,0.0268046,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.015226,0.015226,0.0005695,0.0105863,0.008672,0.0019143,-0.0075469,0.0,0.093306
77,8432,2228906,129,695.0,a,1,Pepe Reina,1982-08-31,Spain,GK,Lazio,Empoli,90,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031789,0.0031789,0.0015347,0.0188643,0.0171346,0.0017297,-0.0289233,0.1192021,1.136317
78,156323,2228906,129,695.0,a,1,Manuel Lazzari,1993-11-29,Italy,FB,Lazio,Empoli,90,76.0,0.0888431,0.0888431,0.0888431,1.0,0.0,1.0,1.0,1.0,1.0,0.5803211,0.4162936,0.4156013,0.2770889,0.0715932,0.0199389,0.0516543,0.0835721,0.0,1.136317
79,84178,2228906,129,695.0,a,1,Francesco Acerbi,1988-02-10,Italy,CB,Lazio,Empoli,90,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441863,0.2436521,0.2284333,0.0221494,0.0325283,-0.0103789,-0.0164502,0.0268046,1.136317
80,107363,2228906,129,695.0,a,1,Elseid Hysaj,1994-02-02,Albania,FB,Lazio,Empoli,90,88.0,0.093306,0.093306,0.093306,0.0,0.0,0.0,1.0,1.0,1.0,0.6748113,0.0828602,0.0826005,-0.0576787,0.2016748,0.1661533,0.0355215,-0.0404001,0.0,1.136317
81,215510,2228906,129,695.0,a,1,Luiz Felipe,1997-03-22,Italy,CB,Lazio,Empoli,90,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014896,0.0013842,0.0004649,0.006033,0.0041952,0.0018378,-0.0166778,0.1632332,1.136317
82,104359,2228906,129,695.0,a,1,Jean-Daniel Akpa Akpro,1992-10-11,Côte d'Ivoire,CM,Lazio,Empoli,45,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048042,0.0048042,-0.0158459,-0.0118128,-0.014633,0.0028202,0.0444875,0.0,0.488441
83,43191,2228906,129,695.0,a,1,Lucas Leiva,1987-01-09,Brazil,CM,Lazio,Empoli,82,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0377701,0.037255,0.0309076,0.0376031,0.036623,0.0009801,-0.0103765,0.0,0.8596542
84,180793,2228906,129,695.0,a,1,Sergej Milinkovic-Savic,1995-02-27,Serbia,CM,Lazio,Empoli,70,79.0,0.4618296,0.4618296,0.0987002,1.0,0.0,0.0,2.0,2.0,1.0,0.4326127,0.2294196,0.2292704,0.1853071,0.1028908,0.0928961,0.0099947,0.0751824,0.0,0.8596542
85,49579,2228906,129,695.0,a,1,Pedro,1987-07-28,Spain,WAM,Lazio,Empoli,60,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0710379,0.0709354,-0.0249759,0.104435,0.0711064,0.0333286,0.1103638,0.0,0.8596542
86,101537,2228906,129,695.0,a,1,Felipe Anderson,1993-04-15,Brazil,WAM,Lazio,Empoli,90,96.0,0.0246859,0.0246859,0.0246859,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3663948,0.3650571,-0.0294386,-0.0629112,0.1139202,-0.1768314,0.0531573,0.1071801,1.136317
